Tanggal,Harga,Merk,Pasar
2020-01-02,14250,Beras Cap Anak Daro,SR
2020-01-02,14500,Beras Cap Anak Daro,CP
2020-01-02,15000,Beras Cap Anak Daro,AR
2020-01-03,14250,Beras Cap Anak Daro,SR
2020-01-03,14500,Beras Cap Anak Daro,CP
2020-01-03,15000,Beras Cap Anak Daro,AR
2020-01-06,14250,Beras Cap Anak Daro,SR
2020-01-06,14500,Beras Cap Anak Daro,CP
2020-01-06,15000,Beras Cap Anak Daro,AR
2020-01-07,14250,Beras Cap Anak Daro,SR
2020-01-07,14500,Beras Cap Anak Daro,CP
2020-01-07,15000,Beras Cap Anak Daro,AR
2020-01-08,14250,Beras Cap Anak Daro,SR
2020-01-08,14500,Beras Cap Anak Daro,CP
2020-01-08,15000,Beras Cap Anak Daro,AR
2020-01-09,14250,Beras Cap Anak Daro,SR
2020-01-09,14500,Beras Cap Anak Daro,CP
2020-01-09,15000,Beras Cap Anak Daro,AR
2020-01-10,14250,Beras Cap Anak Daro,SR
2020-01-10,14500,Beras Cap Anak Daro,CP
2020-01-10,15000,Beras Cap Anak Daro,AR
2020-01-13,14250,Beras Cap Anak Daro,SR
2020-01-13,14500,Beras Cap Anak Daro,CP
2020-01-13,15000,Beras Cap Anak Daro,AR
2020-01-14,14250,Beras Cap Anak Daro,SR
2020-01-14,14500,Beras Cap Anak Daro,CP
2020-01-14,15000,Beras Cap Anak Daro,AR
2020-01-15,14250,Beras Cap Anak Daro,SR
2020-01-15,14500,Beras Cap Anak Daro,CP
2020-01-15,15000,Beras Cap Anak Daro,AR
2020-01-16,14250,Beras Cap Anak Daro,SR
2020-01-16,14500,Beras Cap Anak Daro,CP
2020-01-16,15000,Beras Cap Anak Daro,AR
2020-01-17,14250,Beras Cap Anak Daro,SR
2020-01-17,14500,Beras Cap Anak Daro,CP
2020-01-17,15000,Beras Cap Anak Daro,AR
2020-01-20,14250,Beras Cap Anak Daro,SR
2020-01-20,14500,Beras Cap Anak Daro,CP
2020-01-20,15000,Beras Cap Anak Daro,AR
2020-01-21,14250,Beras Cap Anak Daro,SR
2020-01-21,14500,Beras Cap Anak Daro,CP
2020-01-21,15000,Beras Cap Anak Daro,AR
2020-01-22,14250,Beras Cap Anak Daro,SR
2020-01-22,14500,Beras Cap Anak Daro,CP
2020-01-22,15000,Beras Cap Anak Daro,AR
2020-01-23,14250,Beras Cap Anak Daro,SR
2020-01-23,14500,Beras Cap Anak Daro,CP
2020-01-23,15000,Beras Cap Anak Daro,AR
2020-01-24,14250,Beras Cap Anak Daro,SR
2020-01-24,14500,Beras Cap Anak Daro,CP
2020-01-24,15000,Beras Cap Anak Daro,AR
2020-01-27,14250,Beras Cap Anak Daro,SR
2020-01-27,14500,Beras Cap Anak Daro,CP
2020-01-27,15000,Beras Cap Anak Daro,AR
2020-01-28,14250,Beras Cap Anak Daro,SR
2020-01-28,14500,Beras Cap Anak Daro,CP
2020-01-28,15000,Beras Cap Anak Daro,AR
2020-01-29,14250,Beras Cap Anak Daro,SR
2020-01-29,14500,Beras Cap Anak Daro,CP
2020-01-29,15000,Beras Cap Anak Daro,AR
2020-01-30,14250,Beras Cap Anak Daro,SR
2020-01-30,14500,Beras Cap Anak Daro,CP
2020-01-30,15000,Beras Cap Anak Daro,AR
2020-01-31,14250,Beras Cap Anak Daro,SR
2020-01-31,14500,Beras Cap Anak Daro,CP
2020-01-31,15000,Beras Cap Anak Daro,AR
