Tanggal;Harga
03/01/2020;31500
10/01/2020;32300
17/01/2020;33600
24/01/2020;34100
31/01/2020;32200
07/02/2020;35666.67
14/02/2020;35266.67
21/02/2020;31800
28/02/2020;30600
06/03/2020;30333.33
13/03/2020;30333.33
20/03/2020;31400
27/03/2020;31333.33
03/04/2020;35800
10/04/2020;35916.67
17/04/2020;36200
24/04/2020;38133.33
30/04/2020;44500
01/05/2020;44533.33
08/05/2020;44066.67
15/05/2020;43966.67
22/05/2020;43250
05/06/2020;42200
12/06/2020;38933.33
19/06/2020;29000
26/06/2020;27066.67
03/07/2020;27066.67
10/07/2020;24233.33
17/07/2020;23766.67
24/07/2020;20833.33
31/07/2020;20100
07/07/2020;19333.33
14/07/2020;21600
21/07/2020;20666.67
28/07/2020;22866.67
04/09/2020;22400
11/09/2020;23633.33
18/09/2020;24900
25/09/2020;24400
30/09/2020;24166.67
02/10/2020;25133.33
09/10/2020;25400
16/10/2020;24633.33
23/10/2020;24631.11
06/11/2020;28433.33
13/11/2020;30266.67
20/11/2020;27466.67
27/11/2020;26866.67
04/12/2020;27100
11/12/2020;24416.67
18/12/2020;22333.33
25/12/2020;24444.44
31/12/2020;25166.67
01/01/2021;25175
08/01/2021;25650
15/01/2021;26275
22/01/2021;25800
05/02/2021;25225
12/02/2021;27062.5
19/02/2021;26875
26/02/2021;28800
05/03/2021;29100
12/03/2021;28675
19/03/2021;27125
26/03/2021;27812.5
31/03/2021;28218.75
02/04/2021;29550
09/04/2021;29650
16/04/2021;28700
23/04/2021;28750
07/05/2021;17725
14/05/2021;17500
21/05/2021;17500
28/05/2021;18000
04/06/2021;26166.67
11/06/2021;28133.33
18/06/2021;28733.33
25/06/2021;29733.33
02/07/2021;29550
09/07/2021;31100
16/07/2021;31300
23/07/2021;33875
30/07/2021;29806.25
06/07/2021;26666.67
13/07/2021;27333.33
20/07/2021;26333.33
27/07/2021;26516.67
03/09/2021;26666.67
10/09/2021;26733.33
17/09/2021;27933.33
24/09/2021;27000
30/09/2021;27266.67
08/10/2021;26800
15/10/2021;27200
22/10/2021;26000
29/10/2021;25000
05/11/2021;31000
12/11/2021;31400
19/11/2021;30300
26/11/2021;26900
03/12/2021;27600
10/12/2021;27050
17/12/2021;29150
24/12/2021;30150
31/12/2021;29175
07/01/2022;27400
14/01/2022;26500
21/01/2022;24850
28/01/2022;25200
04/02/2022;24537.5
11/02/2022;26800
18/02/2022;28050
25/02/2022;30800
04/03/2022;31555.56
11/03/2022;33133.33
18/03/2022;32866.67
25/03/2022;30933.33
31/03/2022;29200
08/04/2022;30500
15/04/2022;30437.5
22/04/2022;31650
29/04/2022;32450
06/05/2022;37500
13/05/2022;38500
20/05/2022;36375
27/05/2022;37625
06/03/2020;41000
13/03/2020;40066.67
20/03/2020;45183.33
27/03/2020;46800
30/03/2020;48900
08/07/2022;55783.33
15/07/2022;57550
22/07/2022;56750
29/07/2022;48300
05/07/2022;39900
12/07/2022;33250
19/07/2022;31000
26/07/2022;28300
31/07/2022;29500
09/09/2022;31550
16/09/2022;31962.5
23/09/2022;32050
30/09/2022;32000
08/10/2022;30475
15/10/2022;31700
22/10/2022;32200
29/10/2022;33500
04/11/2022;32150
11/11/2022;30750
18/11/2022;30950
25/11/2022;30000
30/11/2022;29600
09/12/2022;28800
16/12/2022;28600
23/12/2022;29800
30/12/2022;30000
06/01/2023;30800
13/01/2023;33200
20/01/2023;35250
27/01/2023;34450
03/02/2023;35700
10/02/2023;35600
17/02/2023;35900
24/02/2023;34650
03/03/2023;33600
10/03/2023;33800
17/03/2023;35650
24/03/2023;33366.67
31/03/2023;31350
07/04/2023;28600
14/04/2023;28450
21/04/2023;29350
28/04/2023;30341.67
05/05/2023;29229.17
12/05/2023;32425
19/05/2023;32125
26/05/2023;30425
31/05/2023;30300
09/06/2023;31900
16/06/2023;32500
23/06/2023;33750
30/06/2023;34250
07/07/2023;38000
14/07/2023;36950
21/07/2023;35100
28/07/2023;33450
04/08/2023;31933.33
11/08/2023;30200
18/08/2023;29666.67
25/08/2023;28916.67
08/09/2023;28700
15/09/2023;28450
22/09/2023;26750
29/09/2023;23625
06/10/2023;22700
13/10/2023;22683.33
20/10/2023;22900
27/10/2023;22500
03/11/2023;23333.33
10/11/2023;24800
17/11/2023;28050
24/11/2023;28800
01/12/2023;28625
08/12/2023;30050
15/12/2023;33300
22/12/2023;33962.5
29/12/2023;34250
