Tanggal,Harga
2020-01-03,34000
2020-01-10,34000
2020-01-17,34400
2020-01-24,35000
2020-01-31,35600
2020-02-07,44333.33333
2020-02-14,43800
2020-02-21,38066.66667
2020-02-28,36666.66667
2020-03-06,36666.66667
2020-03-13,36666.66667
2020-03-20,36400
2020-03-27,36166.66667
2020-04-03,38533.33333
2020-04-10,37750
2020-04-17,36800
2020-04-24,32933.33333
2020-04-30,32900
2020-05-01,30700
2020-05-08,30066.66667
2020-05-15,28466.66667
2020-05-22,27466.66667
2020-06-05,26266.66667
2020-06-12,25333.33333
2020-06-19,25400
2020-06-26,24600
2020-07-03,23800
2020-07-10,23666.66667
2020-07-17,23800
2020-07-24,23500
2020-07-31,22975
2020-07-07,22300
2020-07-14,22966.66667
2020-07-21,23416.66667
2020-07-28,27400
2020-09-04,26300
2020-09-11,27366.66667
2020-09-18,26800
2020-09-25,27466.66667
2020-09-30,26833.33333
2020-10-02,26633.33333
2020-10-09,26166.66667
2020-10-16,25666.66667
2020-10-23,26333.33333
2020-11-06,27266.66667
2020-11-13,27533.33333
2020-11-20,27666.66667
2020-11-27,27666.66667
2020-12-04,27666.66667
2020-12-11,27666.66667
2020-12-18,27066.66667
2020-12-25,27666.66667
2020-12-31,28666.66667
2021-01-01,26600
2021-01-08,27000
2021-01-15,27200
2021-01-22,26700
2021-02-05,27250
2021-02-12,28312.5
2021-02-19,27275
2021-02-26,27500
2021-03-05,27500
2021-03-12,27687.5
2021-03-19,27500
2021-03-26,28450
2021-03-31,28675
2021-04-02,28700
2021-04-09,28950
2021-04-16,28550
2021-04-23,28100
2021-05-07,17937.5
2021-05-14,18125
2021-05-21,18000
2021-05-28,18025
2021-06-04,29194.44444
2021-06-11,31000
2021-06-18,31000
2021-06-25,30266.66667
2021-07-02,29190
2021-07-09,28100
2021-07-16,29250
2021-07-23,30287.5
2021-07-30,26606.25
2021-07-06,29133.33333
2021-07-13,29416.66667
2021-07-20,29516.66667
2021-07-27,29416.66667
2021-09-03,29666.66667
2021-09-10,29933.33333
2021-09-17,30000
2021-09-24,30000
2021-09-30,29866.66667
2021-10-08,25450
2021-10-15,25350
2021-10-22,25100
2021-10-29,24850
2021-11-05,27750
2021-11-12,28150
2021-11-19,27950
2021-11-26,29050
2021-12-03,28050
2021-12-10,28400
2021-12-17,29200
2021-12-24,29750
2021-12-31,30050
2022-01-07,26550
2022-01-14,26300
2022-01-21,25800
2022-01-28,25550
2022-02-04,25512.5
2022-02-11,25750
2022-02-18,25700
2022-02-25,25950
2022-03-04,26000
2022-03-11,25466.66667
2022-03-18,25666.66667
2022-03-25,25733.33333
2022-03-31,26066.66667
2022-04-08,26000
2022-04-15,26125
2022-04-22,27150
2022-04-29,27475
2022-05-06,28000
2022-05-13,26550
2022-05-20,26375
2022-05-27,26125
2020-03-06,25000
2020-03-13,25400
2020-03-20,25333.33333
2020-03-27,25050
2020-03-30,24100
2022-07-08,21833.33333
2022-07-15,21150
2022-07-22,21350
2022-07-29,20500
2022-07-05,20500
2022-07-12,20500
2022-07-19,20500
2022-07-26,19700
2022-07-31,19100
2022-09-09,20200
2022-09-16,20300
2022-09-23,22500
2022-09-30,21440
2022-10-08,21300
2022-10-15,21800
2022-10-22,23350
2022-10-29,22562.5
2022-11-04,22400
2022-11-11,22100
2022-11-18,22750
2022-11-25,22150
2022-11-30,20700
2022-12-09,20400
2022-12-16,20200
2022-12-23,20200
2022-12-30,19700
2023-01-06,20700
2023-01-13,22350
2023-01-20,24700
2023-01-27,24437.5
2023-02-03,25050
2023-02-10,24750
2023-02-17,25400
2023-02-24,25200
2023-03-03,25250
2023-03-10,25900
2023-03-17,29150
2023-03-24,28350
2023-03-31,27950
2023-04-07,26750
2023-04-14,26850
2023-04-21,26650
2023-04-28,28750
2023-05-05,27750
2023-05-12,27650
2023-05-19,30812.5
2023-05-26,32325
2023-05-31,32983.33333
2023-06-09,33350
2023-06-16,33500
2023-06-23,33750
2023-06-30,33600
2023-07-07,42150
2023-07-14,43050
2023-07-21,42100
2023-07-28,38750
2023-08-04,37400
2023-08-11,37133.33333
2023-08-18,37333.33333
2023-08-25,35833.33333
2023-09-08,36500
2023-09-15,36500
2023-09-22,36250
2023-09-29,35063
