Tanggal,Harga
2020-01-03,14625.00
2020-01-10,14625.00
2020-01-17,14625.00
2020-01-24,14625.00
2020-01-31,14625.00
2020-02-07,14616.67
2020-02-14,14583.33
2020-02-21,14583.33
2020-02-28,14583.33
2020-03-06,14583.33
2020-03-13,14566.67
2020-03-20,14583.33
2020-03-27,14562.50
2020-04-03,14583.33
2020-04-10,14583.33
2020-04-17,14583.33
2020-04-24,14600.00
2020-04-30,14583.33
2020-05-01,14583.33
2020-05-08,14583.33
2020-05-15,14583.33
2020-05-22,14583.33
2020-06-05,14562.50
2020-06-12,14583.33
2020-06-19,14583.33
2020-06-26,14550.00
2020-07-03,14533.33
2020-07-10,14500.00
2020-07-17,14500.00
2020-07-24,14500.00
2020-07-31,14500.00
2020-07-07,14500.00
2020-07-14,14500.00
2020-07-21,14500.00
2020-07-28,14500.00
2020-09-04,14500.00
2020-09-11,14500.00
2020-09-18,14500.00
2020-09-25,14500.00
2020-09-30,14500.00
2020-10-02,14500.00
2020-10-09,14500.00
2020-10-16,14500.00
2020-10-23,14500.00
2020-11-06,14500.00
2020-11-13,14500.00
2020-11-20,14500.00
2020-11-27,14500.00
2020-12-04,14500.00
2020-12-11,14500.00
2020-12-18,14500.00
2020-12-25,14433.33
2020-12-31,14500.00
2021-01-01,14375.00
2021-01-08,14375.00
2021-01-15,14525.00
2021-01-22,14550.00
2021-02-05,14425.00
2021-02-12,14375.00
2021-02-19,14375.00
2021-02-26,14300.00
2021-03-05,14250.00
2021-03-12,14250.00
2021-03-19,14250.00
2021-03-26,14250.00
2021-03-31,14250.00
2021-04-02,14250.00
2021-04-09,14250.00
2021-04-16,14250.00
2021-04-23,14250.00
2021-05-07,14250.00
2021-05-14,14250.00
2021-05-21,14250.00
2021-05-28,14250.00
2021-06-04,14333.33
2021-06-11,14333.33
2021-06-18,14333.33
2021-06-25,14333.33
2021-07-02,14250.00
2021-07-09,14250.00
2021-07-16,14250.00
2021-07-23,14250.00
2021-07-30,14225.00
2021-07-06,14166.67
2021-07-13,14166.67
2021-07-20,14250.00
2021-07-27,14133.33
2021-09-03,14333.33
2021-09-10,14333.33
2021-09-17,14333.33
2021-09-24,14333.33
2021-09-30,14300.00
2021-10-08,14250.00
2021-10-15,14250.00
2021-10-22,14250.00
2021-10-29,14250.00
2021-11-05,14225.00
2021-11-12,14250.00
2021-11-19,14250.00
2021-11-26,14250.00
2021-12-03,14250.00
2021-12-10,14250.00
2021-12-17,14175.00
2021-12-24,14250.00
2021-12-31,14250.00
2022-01-07,14125.00
2022-01-14,14075.00
2022-01-21,14125.00
2022-01-28,14125.00
2022-02-04,13318.75
2022-02-11,14250.00
2022-02-18,14125.00
2022-02-25,14250.00
2022-03-04,14333.33
2022-03-11,14333.33
2022-03-18,14333.33
2022-03-25,14333.33
2022-03-31,14333.33
2022-04-08,14250.00
2022-04-15,14250.00
2022-04-22,14250.00
2022-04-29,14250.00
2022-05-06,14250.00
2022-05-13,14250.00
2022-05-20,14250.00
2022-05-27,14250.00
2020-03-06,14250.00
2020-03-13,14250.00
2020-03-20,14250.00
2020-03-27,14250.00
2020-03-30,14250.00
2022-07-08,14250.00
2022-07-15,14250.00
2022-07-22,14250.00
2022-07-29,14250.00
2022-07-05,14250.00
2022-07-12,14250.00
2022-07-19,14250.00
2022-07-26,14250.00
2022-07-31,14250.00
2022-09-09,14250.00
2022-09-16,14250.00
2022-09-23,14300.00
2022-09-30,15125.00
2022-10-08,15500.00
2022-10-15,16300.00
2022-10-22,16625.00
2022-10-29,15925.00
2022-11-04,15625.00
2022-11-11,15625.00
2022-11-18,15425.00
2022-11-25,15375.00
2022-11-30,15375.00
2022-12-09,15375.00
2022-12-16,15375.00
2022-12-23,15375.00
2022-12-30,15375.00
2023-01-06,15125.00
2023-01-13,15125.00
2023-01-20,15125.00
2023-01-27,15125.00
2023-02-03,15125.00
2023-02-10,15275.00
2023-02-17,15375.00
2023-02-24,15375.00
2023-03-03,15375.00
2023-03-10,15300.00
2023-03-17,15250.00
2023-03-24,15250.00
2023-03-31,15250.00
2023-04-07,15250.00
2023-04-14,15250.00
2023-04-21,15250.00
2023-04-28,15250.00
2023-05-05,15250.00
2023-05-12,15250.00
2023-05-19,15250.00
2023-05-26,15175.00
2023-05-31,15250.00
2023-06-09,15250.00
2023-06-16,15250.00
2023-06-23,15250.00
2023-06-30,15250.00
2023-07-07,15250.00
2023-07-14,15200.00
2023-07-21,15250.00
2023-07-28,15250.00
2023-08-04,14866.67
2023-08-11,15000.00
2023-08-18,15000.00
2023-08-25,15000.00
2023-09-08,16500.00
2023-09-15,16500.00
2023-09-22,16500.00
2023-09-29,16500.00
2023-10-06,16625.00
2023-10-13,16625.00
2023-10-20,16625.00
2023-10-27,16562.50
2023-11-03,16166.67
2023-11-10,16166.67
2023-11-17,16466.67
2023-11-24,16833.33
2023-12-01,16833.33
2023-12-08,16666.67
2023-12-15,16666.67
2023-12-22,16666.67
2023-12-29,16666.67
