Tanggal;Harga;Merk;Pasar
02/01/2020;14250;Beras Cap Anak Daro;SR
02/01/2020;14500;Beras Cap Anak Daro;CP
02/01/2020;15000;Beras Cap Anak Daro;AR
03/01/2020;14250;Beras Cap Anak Daro;SR
03/01/2020;14500;Beras Cap Anak Daro;CP
03/01/2020;15000;Beras Cap Anak Daro;AR
06/01/2020;14250;Beras Cap Anak Daro;SR
06/01/2020;14500;Beras Cap Anak Daro;CP
06/01/2020;15000;Beras Cap Anak Daro;AR
07/01/2020;14250;Beras Cap Anak Daro;SR
07/01/2020;14500;Beras Cap Anak Daro;CP
07/01/2020;15000;Beras Cap Anak Daro;AR
08/01/2020;14250;Beras Cap Anak Daro;SR
08/01/2020;14500;Beras Cap Anak Daro;CP
08/01/2020;15000;Beras Cap Anak Daro;AR
09/01/2020;14250;Beras Cap Anak Daro;SR
09/01/2020;14500;Beras Cap Anak Daro;CP
09/01/2020;15000;Beras Cap Anak Daro;AR
10/01/2020;14250;Beras Cap Anak Daro;SR
10/01/2020;14500;Beras Cap Anak Daro;CP
10/01/2020;15000;Beras Cap Anak Daro;AR
13/01/2020;14250;Beras Cap Anak Daro;SR
13/01/2020;14500;Beras Cap Anak Daro;CP
13/01/2020;15000;Beras Cap Anak Daro;AR
14/01/2020;14250;Beras Cap Anak Daro;SR
14/01/2020;14500;Beras Cap Anak Daro;CP
14/01/2020;15000;Beras Cap Anak Daro;AR
15/01/2020;14250;Beras Cap Anak Daro;SR
15/01/2020;14500;Beras Cap Anak Daro;CP
15/01/2020;15000;Beras Cap Anak Daro;AR
16/01/2020;14250;Beras Cap Anak Daro;SR
16/01/2020;14500;Beras Cap Anak Daro;CP
16/01/2020;15000;Beras Cap Anak Daro;AR
17/01/2020;14250;Beras Cap Anak Daro;SR
17/01/2020;14500;Beras Cap Anak Daro;CP
17/01/2020;15000;Beras Cap Anak Daro;AR
20/01/2020;14250;Beras Cap Anak Daro;SR
20/01/2020;14500;Beras Cap Anak Daro;CP
20/01/2020;15000;Beras Cap Anak Daro;AR
21/01/2020;14250;Beras Cap Anak Daro;SR
21/01/2020;14500;Beras Cap Anak Daro;CP
21/01/2020;15000;Beras Cap Anak Daro;AR
22/01/2020;14250;Beras Cap Anak Daro;SR
22/01/2020;14500;Beras Cap Anak Daro;CP
22/01/2020;15000;Beras Cap Anak Daro;AR
23/01/2020;14250;Beras Cap Anak Daro;SR
23/01/2020;14500;Beras Cap Anak Daro;CP
23/01/2020;15000;Beras Cap Anak Daro;AR
24/01/2020;14250;Beras Cap Anak Daro;SR
24/01/2020;14500;Beras Cap Anak Daro;CP
24/01/2020;15000;Beras Cap Anak Daro;AR
27/01/2020;14250;Beras Cap Anak Daro;SR
27/01/2020;14500;Beras Cap Anak Daro;CP
27/01/2020;15000;Beras Cap Anak Daro;AR
28/01/2020;14250;Beras Cap Anak Daro;SR
28/01/2020;14500;Beras Cap Anak Daro;CP
28/01/2020;15000;Beras Cap Anak Daro;AR
29/01/2020;14250;Beras Cap Anak Daro;SR
29/01/2020;14500;Beras Cap Anak Daro;CP
29/01/2020;15000;Beras Cap Anak Daro;AR
30/01/2020;14250;Beras Cap Anak Daro;SR
30/01/2020;14500;Beras Cap Anak Daro;CP
30/01/2020;15000;Beras Cap Anak Daro;AR
31/01/2020;14250;Beras Cap Anak Daro;SR
31/01/2020;14500;Beras Cap Anak Daro;CP
31/01/2020;15000;Beras Cap Anak Daro;AR
03/02/2020;14250;Beras Cap Anak Daro;SR
03/02/2020;14500;Beras Cap Anak Daro;CP
03/02/2020;15000;Beras Cap Anak Daro;AR
04/02/2020;14500;Beras Cap Anak Daro;SR
04/02/2020;14500;Beras Cap Anak Daro;CP
04/02/2020;15000;Beras Cap Anak Daro;AR
05/02/2020;14500;Beras Cap Anak Daro;SR
05/02/2020;14500;Beras Cap Anak Daro;CP
05/02/2020;15000;Beras Cap Anak Daro;AR
06/02/2020;14250;Beras Cap Anak Daro;SR
06/02/2020;14500;Beras Cap Anak Daro;CP
06/02/2020;15000;Beras Cap Anak Daro;AR
07/02/2020;14250;Beras Cap Anak Daro;SR
07/02/2020;14500;Beras Cap Anak Daro;CP
07/02/2020;15000;Beras Cap Anak Daro;AR
10/02/2020;14250;Beras Cap Anak Daro;SR
10/02/2020;14500;Beras Cap Anak Daro;CP
10/02/2020;15000;Beras Cap Anak Daro;AR
11/02/2020;14250;Beras Cap Anak Daro;SR
11/02/2020;14500;Beras Cap Anak Daro;CP
11/02/2020;15000;Beras Cap Anak Daro;AR
12/02/2020;14250;Beras Cap Anak Daro;SR
12/02/2020;14500;Beras Cap Anak Daro;CP
12/02/2020;15000;Beras Cap Anak Daro;AR
13/02/2020;14250;Beras Cap Anak Daro;SR
13/02/2020;14500;Beras Cap Anak Daro;CP
13/02/2020;15000;Beras Cap Anak Daro;AR
14/02/2020;14250;Beras Cap Anak Daro;SR
14/02/2020;14500;Beras Cap Anak Daro;CP
14/02/2020;15000;Beras Cap Anak Daro;AR
17/02/2020;14250;Beras Cap Anak Daro;SR
17/02/2020;14500;Beras Cap Anak Daro;CP
17/02/2020;15000;Beras Cap Anak Daro;AR
18/02/2020;14250;Beras Cap Anak Daro;SR
18/02/2020;14500;Beras Cap Anak Daro;CP
18/02/2020;15000;Beras Cap Anak Daro;AR
19/02/2020;14250;Beras Cap Anak Daro;SR
19/02/2020;14500;Beras Cap Anak Daro;CP
19/02/2020;15000;Beras Cap Anak Daro;AR
20/02/2020;14250;Beras Cap Anak Daro;SR
20/02/2020;14500;Beras Cap Anak Daro;CP
20/02/2020;15000;Beras Cap Anak Daro;AR
21/02/2020;14250;Beras Cap Anak Daro;SR
21/02/2020;14500;Beras Cap Anak Daro;CP
21/02/2020;15000;Beras Cap Anak Daro;AR
24/02/2020;14250;Beras Cap Anak Daro;SR
24/02/2020;14500;Beras Cap Anak Daro;CP
24/02/2020;15000;Beras Cap Anak Daro;AR
25/02/2020;14250;Beras Cap Anak Daro;SR
25/02/2020;14500;Beras Cap Anak Daro;CP
25/02/2020;15000;Beras Cap Anak Daro;AR
26/02/2020;14250;Beras Cap Anak Daro;SR
26/02/2020;14500;Beras Cap Anak Daro;CP
26/02/2020;15000;Beras Cap Anak Daro;AR
27/02/2020;14250;Beras Cap Anak Daro;SR
27/02/2020;14500;Beras Cap Anak Daro;CP
27/02/2020;15000;Beras Cap Anak Daro;AR
28/02/2020;14250;Beras Cap Anak Daro;SR
28/02/2020;14500;Beras Cap Anak Daro;CP
28/02/2020;15000;Beras Cap Anak Daro;AR
02/03/2020;14250;Beras Cap Anak Daro;SR
02/03/2020;14500;Beras Cap Anak Daro;CP
02/03/2020;15000;Beras Cap Anak Daro;AR
03/03/2020;14250;Beras Cap Anak Daro;SR
03/03/2020;14500;Beras Cap Anak Daro;CP
03/03/2020;15000;Beras Cap Anak Daro;AR
04/03/2020;14250;Beras Cap Anak Daro;SR
04/03/2020;14500;Beras Cap Anak Daro;CP
04/03/2020;15000;Beras Cap Anak Daro;AR
05/03/2020;14250;Beras Cap Anak Daro;SR
05/03/2020;14500;Beras Cap Anak Daro;CP
05/03/2020;15000;Beras Cap Anak Daro;AR
06/03/2020;14250;Beras Cap Anak Daro;SR
06/03/2020;14500;Beras Cap Anak Daro;CP
06/03/2020;15000;Beras Cap Anak Daro;AR
09/03/2020;14000;Beras Cap Anak Daro;SR
09/03/2020;14500;Beras Cap Anak Daro;CP
09/03/2020;15000;Beras Cap Anak Daro;AR
10/03/2020;14250;Beras Cap Anak Daro;SR
10/03/2020;14500;Beras Cap Anak Daro;CP
10/03/2020;15000;Beras Cap Anak Daro;AR
11/03/2020;14250;Beras Cap Anak Daro;SR
11/03/2020;14500;Beras Cap Anak Daro;CP
11/03/2020;15000;Beras Cap Anak Daro;AR
12/03/2020;14250;Beras Cap Anak Daro;SR
12/03/2020;14500;Beras Cap Anak Daro;CP
12/03/2020;15000;Beras Cap Anak Daro;AR
13/03/2020;14250;Beras Cap Anak Daro;SR
13/03/2020;14500;Beras Cap Anak Daro;CP
13/03/2020;15000;Beras Cap Anak Daro;AR
16/03/2020;14250;Beras Cap Anak Daro;SR
16/03/2020;14500;Beras Cap Anak Daro;CP
16/03/2020;15000;Beras Cap Anak Daro;AR
17/03/2020;14250;Beras Cap Anak Daro;SR
17/03/2020;14500;Beras Cap Anak Daro;CP
17/03/2020;15000;Beras Cap Anak Daro;AR
18/03/2020;14250;Beras Cap Anak Daro;SR
18/03/2020;14500;Beras Cap Anak Daro;CP
18/03/2020;15000;Beras Cap Anak Daro;AR
19/03/2020;14250;Beras Cap Anak Daro;SR
19/03/2020;14500;Beras Cap Anak Daro;CP
19/03/2020;15000;Beras Cap Anak Daro;AR
20/03/2020;14250;Beras Cap Anak Daro;SR
20/03/2020;14500;Beras Cap Anak Daro;CP
20/03/2020;15000;Beras Cap Anak Daro;AR
23/03/2020;14000;Beras Cap Anak Daro;SR
23/03/2020;14500;Beras Cap Anak Daro;CP
23/03/2020;15000;Beras Cap Anak Daro;AR
24/03/2020;14250;Beras Cap Anak Daro;SR
24/03/2020;14500;Beras Cap Anak Daro;CP
24/03/2020;15000;Beras Cap Anak Daro;AR
26/03/2020;14250;Beras Cap Anak Daro;SR
26/03/2020;14500;Beras Cap Anak Daro;CP
26/03/2020;15000;Beras Cap Anak Daro;AR
27/03/2020;14250;Beras Cap Anak Daro;SR
27/03/2020;14500;Beras Cap Anak Daro;CP
27/03/2020;15000;Beras Cap Anak Daro;AR
30/03/2020;14250;Beras Cap Anak Daro;SR
30/03/2020;14500;Beras Cap Anak Daro;CP
30/03/2020;15000;Beras Cap Anak Daro;AR
31/03/2020;14250;Beras Cap Anak Daro;SR
31/03/2020;14500;Beras Cap Anak Daro;CP
31/03/2020;15000;Beras Cap Anak Daro;AR
01/04/2020;14250;Beras Cap Anak Daro;SR
01/04/2020;14500;Beras Cap Anak Daro;CP
01/04/2020;15000;Beras Cap Anak Daro;AR
02/04/2020;14250;Beras Cap Anak Daro;SR
02/04/2020;14500;Beras Cap Anak Daro;CP
02/04/2020;15000;Beras Cap Anak Daro;AR
03/04/2020;14250;Beras Cap Anak Daro;SR
03/04/2020;14500;Beras Cap Anak Daro;CP
03/04/2020;15000;Beras Cap Anak Daro;AR
06/04/2020;14250;Beras Cap Anak Daro;SR
06/04/2020;14500;Beras Cap Anak Daro;CP
06/04/2020;15000;Beras Cap Anak Daro;AR
07/04/2020;14250;Beras Cap Anak Daro;SR
07/04/2020;14500;Beras Cap Anak Daro;CP
