Tanggal,Beras Cap Belida
2020-01-03,12000
2020-01-10,12000
2020-01-17,12000
2020-01-24,12000
2020-01-31,12000
2020-02-07,11833.33333
2020-02-14,11833.33333
2020-02-21,11833.33333
2020-02-28,11833.33333
2020-03-06,11833.33333
2020-03-13,11833.33333
2020-03-20,11833.33333
2020-03-27,11833.33333
2020-04-03,11833.33333
2020-04-10,11833.33333
2020-04-17,11833.33333
2020-04-24,11833.33333
2020-04-30,11833.33333
2020-05-01,11833.33333
2020-05-08,11833.33333
2020-05-15,11833.33333
2020-05-22,11833.33333
2020-06-05,11866.66667
2020-06-12,11833.33333
2020-06-19,11833.33333
2020-06-26,11833.33333
2020-07-03,11733.33333
2020-07-10,11666.66667
2020-07-17,11666.66667
2020-07-24,11666.66667
2020-07-31,11666.66667
2020-07-07,11666.66667
2020-07-14,11666.66667
2020-07-21,11666.66667
2020-07-28,11666.66667
2020-09-04,11666.66667
2020-09-11,11666.66667
2020-09-18,11766.66667
2020-09-25,11666.66667
2020-09-30,11666.66667
2020-10-02,11666.66667
2020-10-09,11666.66667
2020-10-16,11733.33333
2020-10-23,11666.66667
2020-11-06,11666.66667
2020-11-13,11666.66667
2020-11-20,11666.66667
2020-11-27,11666.66667
2020-12-04,11666.66667
2020-12-11,11666.66667
2020-12-18,11666.66667
2020-12-25,11666.66667
2020-12-31,11666.66667
2021-01-01,11550
2021-01-08,11500
2021-01-15,11500
2021-01-22,11500
2021-02-05,11500
2021-02-12,11500
2021-02-19,11500
2021-02-26,11500
2021-03-05,11500
2021-03-12,11531.25
2021-03-19,11625
2021-03-26,11625
2021-03-31,11593.75
2021-04-02,11625
2021-04-09,11625
2021-04-16,11625
2021-04-23,11625
2021-05-07,12166.66667
2021-05-14,12375
2021-05-21,12350
2021-05-28,12375
2021-06-04,12833.33333
2021-06-11,12666.66667
2021-06-18,12666.66667
2021-06-25,12700
2021-07-02,12575
2021-07-09,12166.66667
2021-07-16,12166.66667
2021-07-23,12166.66667
2021-07-30,12166.66667
2021-07-06,12000
2021-07-13,12000
2021-07-20,12000
2021-07-27,12000
2021-09-03,12666.66667
2021-09-10,12666.66667
2021-09-17,12666.66667
2021-09-24,12666.66667
2021-09-30,12827.77778
2021-10-08,12375
2021-10-15,12375
2021-10-22,12375
2021-10-29,12375
2021-11-05,12375
2021-11-12,12375
2021-11-19,12375
2021-11-26,12375
2021-12-03,12375
2021-12-10,12400
2021-12-17,12375
2021-12-24,12337.5
2021-12-31,12375
2022-01-07,11575
2022-01-14,11675
2022-01-21,11625
2022-01-28,11625
2022-02-04,11725
2022-02-11,11750
2022-02-18,11625
2022-02-25,11750
2022-03-04,11833.33333
2022-03-11,11833.33333
2022-03-18,11900
2022-03-25,11833.33333
2022-03-31,11833.33333
2022-04-08,11750
2022-04-15,11750
2022-04-22,11750
2022-04-29,11750
2022-05-06,11750
2022-05-13,11225
2022-05-20,11750
2022-05-27,11750
2020-03-06,11750
2020-03-13,11750
2020-03-20,11750
2020-03-27,11750
2020-03-30,11750
2022-07-08,11750
2022-07-15,11750
2022-07-22,11750
2022-07-29,11750
2022-07-05,11750
2022-07-12,11750
2022-07-19,11750
2022-07-26,11750
2022-07-31,11750
2022-09-09,11750
2022-09-16,11750
2022-09-23,13025
2022-09-30,13375
2022-10-08,13525
2022-10-15,13600
2022-10-22,13500
2022-10-29,13500
2022-11-04,13500
2022-11-11,13500
2022-11-18,13500
2022-11-25,13500
2022-11-30,13500
2022-12-09,13500
2022-12-16,13500
2022-12-23,13500
2022-12-30,13500
2023-01-06,13500
2023-01-13,13550
2023-01-20,13625
2023-01-27,13625
2023-02-03,13625
2023-02-10,13775
2023-02-17,13875
2023-02-24,13875
2023-03-03,13875
2023-03-10,12875
2023-03-17,13375
2023-03-24,13291.66667
2023-03-31,13250
2023-04-07,13281.25
2023-04-14,13250
2023-04-21,13250
2023-04-28,13375
2023-05-05,13375
2023-05-12,13350
2023-05-19,13375
2023-05-26,13375
2023-05-31,13375
2023-06-09,13375
2023-06-16,13375
2023-06-23,13375
2023-06-30,13375
2023-07-07,13412.5
2023-07-14,13375
2023-07-21,13375
2023-07-28,13400
2023-08-04,13500
2023-08-11,13500
2023-08-18,13541.66667
2023-08-25,13541.66667
