Tanggal,Beras Cap Mundam
2020-01-03,13000
2020-01-10,13000
2020-01-17,13000
2020-01-24,13000
2020-01-31,13000
2020-02-07,12833.33333
2020-02-14,12833.33333
2020-02-21,12833.33333
2020-02-28,12833.33333
2020-03-06,12833.33333
2020-03-13,12833.33333
2020-03-20,12833.33333
2020-03-27,12833.33333
2020-04-03,12833.33333
2020-04-10,12833.33333
2020-04-17,12833.33333
2020-04-24,12833.33333
2020-04-30,12833.33333
2020-05-01,12833.33333
2020-05-08,12833.33333
2020-05-15,12833.33333
2020-05-22,12833.33333
2020-06-05,12833.33333
2020-06-12,12833.33333
2020-06-19,12833.33333
2020-06-26,12833.33333
2020-07-03,12833.33333
2020-07-10,12833.33333
2020-07-17,12833.33333
2020-07-24,12833.33333
2020-07-31,12833.33333
2020-07-07,12833.33333
2020-07-14,12833.33333
2020-07-21,12833.33333
2020-07-28,12833.33333
2020-09-04,12833.33333
2020-09-11,12833.33333
2020-09-18,12833.33333
2020-09-25,12833.33333
2020-09-30,12833.33333
2020-10-02,12833.33333
2020-10-09,12833.33333
2020-10-16,12833.33333
2020-10-23,12833.33333
2020-11-06,12833.33333
2020-11-13,12833.33333
2020-11-20,12833.33333
2020-11-27,12833.33333
2020-12-04,12833.33333
2020-12-11,12833.33333
2020-12-18,12833.33333
2020-12-25,12833.33333
2020-12-31,12833.33333
2021-01-01,12975
2021-01-08,13000
2021-01-15,12975
2021-01-22,13000
2021-02-05,13000
2021-02-12,13000
2021-02-19,13000
2021-02-26,13000
2021-03-05,13000
2021-03-12,12984.375
2021-03-19,13000
2021-03-26,13000
2021-03-31,12968.75
2021-04-02,13000
2021-04-09,13000
2021-04-16,13000
2021-04-23,13000
2021-05-07,13000
2021-05-14,12625
2021-05-21,12500
2021-05-28,12500
2021-06-04,12388.88889
2021-06-11,12333.33333
2021-06-18,12333.33333
2021-06-25,12333.33333
2021-07-02,12650
2021-07-09,12900
2021-07-16,12875
2021-07-23,12875
2021-07-30,12900
2021-07-06,12333.33333
2021-07-13,12333.33333
2021-07-20,12416.66667
2021-07-27,12333.33333
2021-09-03,12500
2021-09-10,12500
2021-09-17,12500
2021-09-24,12500
2021-09-30,12500
2021-10-08,12525
2021-10-15,12500
2021-10-22,12500
2021-10-29,12500
2021-11-05,12500
2021-11-12,12525
2021-11-19,12500
2021-11-26,12500
2021-12-03,12500
2021-12-10,12500
2021-12-17,12525
2021-12-24,12500
2021-12-31,12500
2022-01-07,12900
2022-01-14,13000
2022-01-21,13000
2022-01-28,13000
2022-02-04,13000
2022-02-11,13000
2022-02-18,13000
2022-02-25,13000
2022-03-04,12833.33333
2022-03-11,12833.33333
2022-03-18,12833.33333
2022-03-25,12833.33333
2022-03-31,12833.33333
2022-04-08,13000
2022-04-15,13000
2022-04-22,13025
2022-04-29,13000
2022-05-06,12750
2022-05-13,13000
2022-05-20,13000
2022-05-27,13000
2020-03-06,13000
2020-03-13,13000
2020-03-20,13000
2020-03-27,13000
2020-03-30,13000
2022-07-08,13000
2022-07-15,13000
2022-07-22,13000
2022-07-29,13000
2022-07-05,13000
2022-07-12,13000
2022-07-19,13000
2022-07-26,13000
2022-07-31,13000
2022-09-09,13000
2022-09-16,13000
2022-09-23,14150
2022-09-30,14525
2022-10-08,13500
2022-10-15,14500
2022-10-22,14500
2022-10-29,14500
2022-11-04,14500
2022-11-11,14100
2022-11-18,14000
2022-11-25,14000
2022-11-30,14000
2022-12-09,14000
2022-12-16,14000
2022-12-23,14000
2022-12-30,14000
2023-01-06,14000
2023-01-13,14000
2023-01-20,14000
2023-01-27,14000
2023-02-03,14000
2023-02-10,14900
2023-02-17,15500
2023-02-24,15500
2023-03-03,15500
2023-03-10,14600
2023-03-17,14000
2023-03-24,14000
2023-03-31,14000
2023-04-07,14000
2023-04-14,14000
2023-04-21,14000
2023-04-28,14000
2023-05-05,14000
2023-05-12,14000
2023-05-19,14000
2023-05-26,14000
2023-05-31,14000
2023-06-09,14000
2023-06-16,14000
2023-06-23,14000
2023-06-30,14000
2023-07-07,14000
2023-07-14,14000
2023-07-21,14000
2023-07-28,14000
2023-08-04,
2023-08-11,
2023-08-18,
2023-08-25,
