Tanggal,Beras Cap Pandan Wangi
2020-01-03,14500
2020-01-10,14500
2020-01-17,14500
2020-01-24,14500
2020-01-31,14500
2020-02-07,14500
2020-02-14,14500
2020-02-21,14500
2020-02-28,14500
2020-03-06,14500
2020-03-13,14500
2020-03-20,14500
2020-03-27,14500
2020-04-03,14500
2020-04-10,14500
2020-04-17,14500
2020-04-24,14500
2020-04-30,14500
2020-05-01,14500
2020-05-08,14500
2020-05-15,14500
2020-05-22,14500
2020-06-05,14500
2020-06-12,14500
2020-06-19,14500
2020-06-26,14450
2020-07-03,14500
2020-07-10,14500
2020-07-17,14500
2020-07-24,14500
2020-07-31,14500
2020-07-07,14500
2020-07-14,14500
2020-07-21,14500
2020-07-28,14500
2020-09-04,14500
2020-09-11,14500
2020-09-18,14500
2020-09-25,14500
2020-09-30,14500
2020-10-02,14500
2020-10-09,14500
2020-10-16,14500
2020-10-23,14500
2020-11-06,14500
2020-11-13,14500
2020-11-20,14500
2020-11-27,14500
2020-12-04,14500
2020-12-11,14250
2020-12-18,14250
2020-12-25,14125
2020-12-31,14250
2021-01-01,14466.66667
2021-01-08,14466.66667
2021-01-15,14500
2021-01-22,14666.66667
2021-02-05,14500
2021-02-12,14500
2021-02-19,14500
2021-02-26,14500
2021-03-05,14500
2021-03-12,14500
2021-03-19,14500
2021-03-26,14500
2021-03-31,14500
2021-04-02,14500
2021-04-09,14500
2021-04-16,14500
2021-04-23,14500
2021-05-07,14500
2021-05-14,14500
2021-05-21,14466.66667
2021-05-28,14333.33333
2021-06-04,14416.66667
2021-06-11,14500
2021-06-18,14500
2021-06-25,14500
2021-07-02,14333.33333
2021-07-09,14333.33333
2021-07-16,14333.33333
2021-07-23,14333.33333
2021-07-30,14300
2021-07-06,14000
2021-07-13,14000
2021-07-20,14125
2021-07-27,14000
2021-09-03,14500
2021-09-10,14450
2021-09-17,14500
2021-09-24,14475
2021-09-30,14450
2021-10-08,14333.33333
2021-10-15,14333.33333
2021-10-22,14333.33333
2021-10-29,14333.33333
2021-11-05,14300
2021-11-12,14333.33333
2021-11-19,14333.33333
2021-11-26,14333.33333
2021-12-03,14333.33333
2021-12-10,14333.33333
2021-12-17,14333.33333
2021-12-24,14333.33333
2021-12-31,14333.33333
2022-01-07,14325
2022-01-14,14375
2022-01-21,14375
2022-01-28,14375
2022-02-04,13537.5
2022-02-11,14500
2022-02-18,14375
2022-02-25,14500
2022-03-04,14500
2022-03-11,14500
2022-03-18,14500
2022-03-25,14500
2022-03-31,14500
2022-04-08,14500
2022-04-15,14500
2022-04-22,14500
2022-04-29,14343.75
2022-05-06,14250
2022-05-13,14500
2022-05-20,14500
2022-05-27,14500
2020-03-06,14500
2020-03-13,14500
2020-03-20,14500
2020-03-27,14500
2020-03-30,14500
2022-07-08,14500
2022-07-15,14500
2022-07-22,14500
2022-07-29,14500
2022-07-05,14500
2022-07-12,14500
2022-07-19,14500
2022-07-26,14500
2022-07-31,14500
2022-09-09,14500
2022-09-16,14500
2022-09-23,14212.5
2022-09-30,15250
2022-10-08,15500
2022-10-15,15500
2022-10-22,15500
2022-10-29,15500
2022-11-04,15500
2022-11-11,15500
2022-11-18,15500
2022-11-25,15500
2022-11-30,15500
2022-12-09,15500
2022-12-16,15500
2022-12-23,15500
2022-12-30,15500
2023-01-06,15500
2023-01-13,15500
2023-01-20,15500
2023-01-27,15500
2023-02-03,15500
2023-02-10,16100
2023-02-17,16500
2023-02-24,16500
2023-03-03,16500
2023-03-10,16200
2023-03-17,16000
2023-03-24,16000
2023-03-31,16000
2023-04-07,16000
2023-04-14,16000
2023-04-21,16000
2023-04-28,16000
2023-05-05,16000
2023-05-12,16000
2023-05-19,16000
2023-05-26,16000
2023-05-31,16000
2023-06-09,16000
2023-06-16,16000
2023-06-23,16000
2023-06-30,16000
2023-07-07,16000
2023-07-14,16000
2023-07-21,16000
2023-07-28,16000
2023-08-04,
2023-08-11,
2023-08-18,
2023-08-25,
