Tanggal;Harga
2020-01-03;12000,00
2020-01-10;12000,00
2020-01-17;12000,00
2020-01-24;12000,00
2020-01-31;12000,00
2020-02-07;11833,33
2020-02-14;11833,33
2020-02-21;11833,33
2020-02-28;11833,33
2020-03-06;11833,33
2020-03-13;11833,33
2020-03-20;11833,33
2020-03-27;11833,33
2020-04-03;11833,33
2020-04-10;11833,33
2020-04-17;11833,33
2020-04-24;11833,33
2020-04-30;11833,33
2020-05-01;11833,33
2020-05-08;11833,33
2020-05-15;11833,33
2020-05-22;11833,33
2020-06-05;11833,33
2020-06-12;11833,33
2020-06-19;11833,33
2020-06-26;11833,33
2020-07-03;11766,67
2020-07-10;11833,33
2020-07-17;11833,33
2020-07-24;11833,33
2020-07-31;11833,33
2020-07-07;11833,33
2020-07-14;11833,33
2020-07-21;11833,33
2020-07-28;11833,33
2020-09-04;11833,33
2020-09-11;11833,33
2020-09-18;11833,33
2020-09-25;11833,33
2020-09-30;11833,33
2020-10-02;11833,33
2020-10-09;11833,33
2020-10-16;11833,33
2020-10-23;11833,33
2020-11-06;11833,33
2020-11-13;11833,33
2020-11-20;11833,33
2020-11-27;11833,33
2020-12-04;11833,33
2020-12-11;11833,33
2020-12-18;11833,33
2020-12-25;11833,33
2020-12-31;11833,33
2021-01-01;11575,00
2021-01-08;11500,00
2021-01-15;11500,00
2021-01-22;11500,00
2021-02-05;11500,00
2021-02-12;11500,00
2021-02-19;11500,00
2021-02-26;11500,00
2021-03-05;11500,00
2021-03-12;11531,25
2021-03-19;11625,00
2021-03-26;11625,00
2021-03-31;11625,00
2021-04-02;11625,00
2021-04-09;11625,00
2021-04-16;11625,00
2021-04-23;11625,00
2021-05-07;11625,00
2021-05-14;11625,00
2021-05-21;11666,67
2021-05-28;11666,67
2021-06-04;9300,00
2021-06-11;10400,00
2021-06-18;10400,00
2021-06-25;10400,00
2021-07-02;10055,00
2021-07-09;11600,00
2021-07-16;11600,00
2021-07-23;11600,00
2021-07-30;11600,00
2021-07-06;10933,33
2021-07-13;10933,33
2021-07-20;10933,33
2021-07-27;10933,33
2021-09-03;10400,00
2021-09-10;10400,00
2021-09-17;10400,00
2021-09-24;10400,00
2021-09-30;10500,00
2021-10-08;10675,00
2021-10-15;10675,00
2021-10-22;10675,00
2021-10-29;10675,00
2021-11-05;10675,00
2021-11-12;10675,00
2021-11-19;10675,00
2021-11-26;10675,00
2021-12-03;10675,00
2021-12-10;10675,00
2021-12-17;10675,00
2021-12-24;10675,00
2021-12-31;10675,00
2022-01-07;11612,50
2022-01-14;11675,00
2022-01-21;11625,00
2022-01-28;11625,00
2022-02-04;11725,00
2022-02-11;11750,00
2022-02-18;11650,00
2022-02-25;11750,00
2022-03-04;11833,33
2022-03-11;11900,00
2022-03-18;11833,33
2022-03-25;11833,33
2022-03-31;11833,33
2022-04-08;11750,00
2022-04-15;11750,00
2022-04-22;11750,00
2022-04-29;11750,00
2022-05-06;11750,00
2022-05-13;11825,00
2022-05-20;11750,00
2022-05-27;11750,00
2020-03-06;11750,00
2020-03-13;11750,00
2020-03-20;11800,00
2020-03-27;11750,00
2020-03-30;11750,00
2022-07-08;11750,00
2022-07-15;11750,00
2022-07-22;11750,00
2022-07-29;11750,00
2022-07-05;11750,00
2022-07-12;11750,00
2022-07-19;11750,00
2022-07-26;11750,00
2022-07-31;11750,00
2022-09-09;11750,00
2022-09-16;11750,00
2022-09-23;13025,00
2022-09-30;13375,00
2022-10-08;13375,00
2022-10-15;13600,00
2022-10-22;13500,00
2022-10-29;13400,00
2022-11-04;13387,50
2022-11-11;13375,00
2022-11-18;13375,00
2022-11-25;13375,00
2022-11-30;13375,00
2022-12-09;13375,00
2022-12-16;13275,00
2022-12-23;13375,00
2022-12-30;13275,00
2023-01-06;13375,00
2023-01-13;13300,00
2023-01-20;13250,00
2023-01-27;13250,00
2023-02-03;13250,00
2023-02-10;13400,00
2023-02-17;13500,00
2023-02-24;13500,00
2023-03-03;13500,00
2023-03-10;13050,00
2023-03-17;12750,00
2023-03-24;12791,67
2023-03-31;12750,00
2023-04-07;12750,00
2023-04-14;12750,00
2023-04-21;12750,00
2023-04-28;12875,00
2023-05-05;12875,00
2023-05-12;12875,00
2023-05-19;12875,00
2023-05-26;12875,00
2023-05-31;12875,00
2023-06-09;12875,00
2023-06-16;12875,00
2023-06-23;12875,00
2023-06-30;12875,00
2023-07-07;12875,00
2023-07-14;12875,00
2023-07-21;12875,00
2023-07-28;12875,00
2023-08-04;13166,67
2023-08-11;13166,67
2023-08-18;13166,67
2023-08-25;13125,00
2023-09-08;13000,00
2023-09-15;13000,00
2023-09-22;13000,00
2023-09-29;13156,25
2023-10-06;14300,00
2023-10-13;14300,00
2023-10-20;14300,00
2023-10-27;14300,00
2023-11-03;15000,00
2023-11-10;15000,00
2023-11-17;15100,00
2023-11-24;15125,00
2023-12-01;15125,00
2023-12-08;15125,00
2023-12-15;15125,00
2023-12-22;15125,00
2023-12-29;15125,00
