Tanggal,Cabe_Merah_Keriting
2020-01-03,34500
2020-01-10,37800
2020-01-17,36000
2020-01-24,34300
2020-01-31,35600
2020-02-07,37400
2020-02-14,37466.66667
2020-02-21,39733.33333
2020-02-28,44266.66667
2020-03-06,36333.33333
2020-03-13,37133.33333
2020-03-20,31666.66667
2020-03-27,29166.66667
2020-04-03,27733.33333
2020-04-10,25166.66667
2020-04-17,21666.66667
2020-04-24,22266.66667
2020-04-30,22200
2020-05-01,23333.33333
2020-05-08,19866.66667
2020-05-15,21600
2020-05-22,22166.66667
2020-06-05,21466.66667
2020-06-12,21466.66667
2020-06-19,20066.66667
2020-06-26,20300
2020-07-03,21066.66667
2020-07-10,24400
2020-07-17,26600
2020-07-24,25366.66667
2020-07-31,27108.33333
2020-07-07,27666.66667
2020-07-14,24333.33333
2020-07-21,22583.33333
2020-07-28,21666.66667
2020-09-04,20800
2020-09-11,22300
2020-09-18,24400
2020-09-25,24333.33333
2020-09-30,31633.33333
2020-10-02,36733.33333
2020-10-09,38100
2020-10-16,36666.66667
2020-10-23,34057.77778
2020-11-06,36666.66667
2020-11-13,37866.66667
2020-11-20,37666.66667
2020-11-27,40300
2020-12-04,41733.33333
2020-12-11,43333.33333
2020-12-18,44666.66667
2020-12-25,46300
2020-12-31,55000
2021-01-01,60950
2021-01-08,56725
2021-01-15,60550
2021-01-22,48450
2021-02-05,48250
2021-02-12,56556.25
2021-02-19,53875
2021-02-26,44800
2021-03-05,47300
2021-03-12,46637.5
2021-03-19,48950
2021-03-26,48000
2021-03-31,47937.5
2021-04-02,46550
2021-04-09,44625
2021-04-16,39300
2021-04-23,34200
2021-05-07,18912.5
2021-05-14,20000
2021-05-21,19850
2021-05-28,17925
2021-06-04,18500
2021-06-11,18533.33333
2021-06-18,20266.66667
2021-06-25,20666.66667
2021-07-02,20721.42857
2021-07-09,17000
2021-07-16,18000
2021-07-23,18937.5
2021-07-30,18343.75
2021-07-06,27066.66667
2021-07-13,27133.33333
2021-07-20,25216.66667
2021-07-27,25666.66667
2021-09-03,27866.66667
2021-09-10,32466.66667
2021-09-17,33266.66667
2021-09-24,34466.66667
2021-09-30,35277.77778
2021-10-08,37300
2021-10-15,37750
2021-10-22,36625
2021-10-29,43500
2021-11-05,33075
2021-11-12,31975
2021-11-19,30025
2021-11-26,28425
2021-12-03,29350
2021-12-10,28900
2021-12-17,31600
2021-12-24,30800
2021-12-31,25812.5
2022-01-07,31600
2022-01-14,26850
2022-01-21,26850
2022-01-28,24850
2022-02-04,23500
2022-02-11,26700
2022-02-18,33850
2022-02-25,37000
2022-03-04,40533.33333
2022-03-11,53733.33333
2022-03-18,55466.66667
2022-03-25,52866.66667
2022-03-31,44466.66667
2022-04-08,43600
2022-04-15,33875
2022-04-22,32600
2022-04-29,33375
2022-05-06,37500
2022-05-13,30250
2022-05-20,29500
2022-05-27,33925
2020-03-06,51937.5
2020-03-13,59300
2020-03-20,81916.66667
2020-03-27,96000
2020-03-30,100000
2022-07-08,110050
2022-07-15,115500
2022-07-22,104000
2022-07-29,94500
2022-07-05,85500
2022-07-12,80900
2022-07-19,73312.5
2022-07-26,67000
2022-07-31,64875
2022-09-09,97687.5
2022-09-16,82512.5
2022-09-23,68900
2022-09-30,56400
2022-10-08,50350
2022-10-15,51875
2022-10-22,41950
2022-10-29,33637.5
2022-11-04,28850
2022-11-11,27350
2022-11-18,28450
2022-11-25,33950
2022-11-30,36450
2022-12-09,39750
2022-12-16,40750
2022-12-23,41650
2022-12-30,43150
2023-01-06,44000
2023-01-13,45300
2023-01-20,46300
2023-01-27,44412.5
2023-02-03,50100
2023-02-10,53350
2023-02-17,47650
2023-02-24,50625
2023-03-03,48750
2023-03-10,50050
2023-03-17,51150
2023-03-24,45933.33333
2023-03-31,39400
2023-04-07,34262.5
2023-04-14,34100
2023-04-21,32975
2023-04-28,32837.5
2023-05-05,32645.83333
2023-05-12,32137.5
2023-05-19,30950
2023-05-26,30775
2023-05-31,31933.33333
2023-06-09,30150
2023-06-16,29850
2023-06-23,31000
2023-06-30,30375
2023-07-07,43850
2023-07-14,40100
2023-07-21,37862.5
2023-07-28,35650
2023-08-04,35400
2023-08-11,32733.33333
2023-08-18,40333.33333
2023-08-25,54583.33333
