Tanggal;Harga
2020-01-03;34500,00
2020-01-10;37800,00
2020-01-17;36000,00
2020-01-24;34300,00
2020-01-31;35600,00
2020-02-07;37400,00
2020-02-14;37466,67
2020-02-21;39733,33
2020-02-28;44266,67
2020-03-06;36333,33
2020-03-13;37133,33
2020-03-20;31666,67
2020-03-27;29166,67
2020-04-03;27733,33
2020-04-10;25166,67
2020-04-17;21666,67
2020-04-24;22266,67
2020-04-30;22200,00
2020-05-01;23333,33
2020-05-08;19866,67
2020-05-15;21600,00
2020-05-22;22166,67
2020-06-05;21466,67
2020-06-12;21466,67
2020-06-19;20066,67
2020-06-26;20300,00
2020-07-03;21066,67
2020-07-10;24400,00
2020-07-17;26600,00
2020-07-24;25366,67
2020-07-31;27108,33
2020-07-07;27666,67
2020-07-14;24333,33
2020-07-21;22583,33
2020-07-28;21666,67
2020-09-04;20800,00
2020-09-11;22300,00
2020-09-18;24400,00
2020-09-25;24333,33
2020-09-30;31633,33
2020-10-02;36733,33
2020-10-09;38100,00
2020-10-16;36666,67
2020-10-23;34057,78
2020-11-06;36666,67
2020-11-13;37866,67
2020-11-20;37666,67
2020-11-27;40300,00
2020-12-04;41733,33
2020-12-11;43333,33
2020-12-18;44666,67
2020-12-25;46300,00
2020-12-31;55000,00
2021-01-01;60950,00
2021-01-08;56725,00
2021-01-15;60550,00
2021-01-22;48450,00
2021-02-05;48250,00
2021-02-12;56556,25
2021-02-19;53875,00
2021-02-26;44800,00
2021-03-05;47300,00
2021-03-12;46637,50
2021-03-19;48950,00
2021-03-26;48000,00
2021-03-31;47937,50
2021-04-02;46550,00
2021-04-09;44625,00
2021-04-16;39300,00
2021-04-23;34200,00
2021-05-07;18912,50
2021-05-14;20000,00
2021-05-21;19850,00
2021-05-28;17925,00
2021-06-04;18500,00
2021-06-11;18533,33
2021-06-18;20266,67
2021-06-25;20666,67
2021-07-02;20721,43
2021-07-09;17000,00
2021-07-16;18000,00
2021-07-23;18937,50
2021-07-30;18343,75
2021-07-06;27066,67
2021-07-13;27133,33
2021-07-20;25216,67
2021-07-27;25666,67
2021-09-03;27866,67
2021-09-10;32466,67
2021-09-17;33266,67
2021-09-24;34466,67
2021-09-30;35277,78
2021-10-08;37300,00
2021-10-15;37750,00
2021-10-22;36625,00
2021-10-29;43500,00
2021-11-05;33075,00
2021-11-12;31975,00
2021-11-19;30025,00
2021-11-26;28425,00
2021-12-03;29350,00
2021-12-10;28900,00
2021-12-17;31600,00
2021-12-24;30800,00
2021-12-31;25812,50
2022-01-07;31600,00
2022-01-14;26850,00
2022-01-21;26850,00
2022-01-28;24850,00
2022-02-04;23500,00
2022-02-11;26700,00
2022-02-18;33850,00
2022-02-25;37000,00
2022-03-04;40533,33
2022-03-11;53733,33
2022-03-18;55466,67
2022-03-25;52866,67
2022-03-31;44466,67
2022-04-08;43600,00
2022-04-15;33875,00
2022-04-22;32600,00
2022-04-29;33375,00
2022-05-06;37500,00
2022-05-13;30250,00
2022-05-20;29500,00
2022-05-27;33925,00
2020-03-06;51937,50
2020-03-13;59300,00
2020-03-20;81916,67
2020-03-27;96000,00
2020-03-30;100000,00
2022-07-08;110050,00
2022-07-15;115500,00
2022-07-22;104000,00
2022-07-29;94500,00
2022-07-05;85500,00
2022-07-12;80900,00
2022-07-19;73312,50
2022-07-26;67000,00
2022-07-31;64875,00
2022-09-09;97687,50
2022-09-16;82512,50
2022-09-23;68900,00
2022-09-30;56400,00
2022-10-08;50350,00
2022-10-15;51875,00
2022-10-22;41950,00
2022-10-29;33637,50
2022-11-04;28850,00
2022-11-11;27350,00
2022-11-18;28450,00
2022-11-25;33950,00
2022-11-30;36450,00
2022-12-09;39750,00
2022-12-16;40750,00
2022-12-23;41650,00
2022-12-30;43150,00
2023-01-06;44000,00
2023-01-13;45300,00
2023-01-20;46300,00
2023-01-27;44412,50
2023-02-03;50100,00
2023-02-10;53350,00
2023-02-17;47650,00
2023-02-24;50625,00
2023-03-03;48750,00
2023-03-10;50050,00
2023-03-17;51150,00
2023-03-24;45933,33
2023-03-31;39400,00
2023-04-07;34262,50
2023-04-14;34100,00
2023-04-21;32975,00
2023-04-28;32837,50
2023-05-05;32645,83
2023-05-12;32137,50
2023-05-19;30950,00
2023-05-26;30775,00
2023-05-31;31933,33
2023-06-09;30150,00
2023-06-16;29850,00
2023-06-23;31000,00
2023-06-30;30375,00
2023-07-07;43850,00
2023-07-14;40100,00
2023-07-21;37862,50
2023-07-28;35650,00
2023-08-04;35400,00
2023-08-11;32733,33
2023-08-18;40333,33
2023-08-25;54583,33
2023-09-08;50250,00
2023-09-15;49150,00
2023-09-22;46950,00
2023-09-29;47187,50
2023-10-06;48350,00
2023-10-13;45950,00
2023-10-20;45300,00
2023-10-27;42750,00
2023-11-03;53500,00
2023-11-10;62250,00
2023-11-17;73500,00
2023-11-24;74150,00
2023-12-01;72687,50
2023-12-08;78450,00
2023-12-15;71000,00
2023-12-22;60750,00
2023-12-29;60833,33
