Tanggal,Harga
2020-01-03,28750.00
2020-01-10,28900.00
2020-01-17,28400.00
2020-01-24,28000.00
2020-01-31,27000.00
2020-02-07,26000.00
2020-02-14,26333.33
2020-02-21,26000.00
2020-02-28,25866.67
2020-03-06,25333.33
2020-03-13,25333.33
2020-03-20,25333.33
2020-03-27,25333.33
2020-04-03,24666.67
2020-04-10,22750.00
2020-04-17,20933.33
2020-04-24,19333.33
2020-04-30,19533.33
2020-05-01,19333.33
2020-05-08,22666.67
2020-05-15,26200.00
2020-05-22,29600.00
2020-06-05,33000.00
2020-06-12,32766.67
2020-06-19,30533.33
2020-06-26,28600.00
2020-07-03,26733.33
2020-07-10,26733.33
2020-07-17,25600.00
2020-07-24,24266.67
2020-07-31,25100.00
2020-07-07,26033.33
2020-07-14,23933.33
2020-07-21,22916.67
2020-07-28,23400.00
2020-09-04,22500.00
2020-09-11,23600.00
2020-09-18,24266.67
2020-09-25,23933.33
2020-09-30,23333.33
2020-10-02,23866.67
2020-10-09,24133.33
2020-10-16,23933.33
2020-10-23,24777.78
2020-11-06,31066.67
2020-11-13,31466.67
2020-11-20,30200.00
2020-11-27,29866.67
2020-12-04,28866.67
2020-12-11,28250.00
2020-12-18,29866.67
2020-12-25,30000.00
2020-12-31,30777.78
2021-01-01,29850.00
2021-01-08,31450.00
2021-01-15,31800.00
2021-01-22,30150.00
2021-02-05,29000.00
2021-02-12,29100.00
2021-02-19,28650.00
2021-02-26,28050.00
2021-03-05,28500.00
2021-03-12,28650.00
2021-03-19,27750.00
2021-03-26,27175.00
2021-03-31,26937.50
2021-04-02,27950.00
2021-04-09,30850.00
2021-04-16,29050.00
2021-04-23,27600.00
2021-05-07,77887.50
2021-05-14,82150.00
2021-05-21,79600.00
2021-05-28,79500.00
2021-06-04,70900.00
2021-06-11,63200.00
2021-06-18,63666.67
2021-06-25,63466.67
2021-07-02,64857.14
2021-07-09,79250.00
2021-07-16,78800.00
2021-07-23,78687.50
2021-07-30,78281.25
2021-07-06,24733.33
2021-07-13,24600.00
2021-07-20,24533.33
2021-07-27,25166.67
2021-09-03,24844.44
2021-09-10,27466.67
2021-09-17,28200.00
2021-09-24,27666.67
2021-09-30,28133.33
2021-10-08,27500.00
2021-10-15,26900.00
2021-10-22,28625.00
2021-10-29,29250.00
2021-11-05,36850.00
2021-11-12,36250.00
2021-11-19,35450.00
2021-11-26,35750.00
2021-12-03,35850.00
2021-12-10,36200.00
2021-12-17,36250.00
2021-12-24,36250.00
2021-12-31,37175.00
2022-01-07,29900.00
2022-01-14,32050.00
2022-01-21,34400.00
2022-01-28,32050.00
2022-02-04,30962.50
2022-02-11,30100.00
2022-02-18,28950.00
2022-02-25,29400.00
2022-03-04,29333.33
2022-03-11,29800.00
2022-03-18,29800.00
2022-03-25,30000.00
2022-03-31,30600.00
2022-04-08,30800.00
2022-04-15,31250.00
2022-04-22,31300.00
2022-04-29,31500.00
2022-05-06,35166.67
2022-05-13,35050.00
2022-05-20,34075.00
2022-05-27,31812.50
2020-03-06,30750.00
2020-03-13,30283.33
2020-03-20,30083.33
2020-03-27,28950.00
2020-03-30,26950.00
2022-07-08,25683.33
2022-07-15,25750.00
2022-07-22,25000.00
2022-07-29,25780.00
2022-07-05,25250.00
2022-07-12,25000.00
2022-07-19,24850.00
2022-07-26,26350.00
2022-07-31,26750.00
2022-09-09,25600.00
2022-09-16,27325.00
2022-09-23,27350.00
2022-09-30,27060.00
2022-10-08,26000.00
2022-10-15,25850.00
2022-10-22,25200.00
2022-10-29,25550.00
2022-11-04,25500.00
2022-11-11,26200.00
2022-11-18,26750.00
2022-11-25,27550.00
2022-11-30,27300.00
2022-12-09,28750.00
2022-12-16,29550.00
2022-12-23,29500.00
2022-12-30,30750.00
2023-01-06,32150.00
2023-01-13,31700.00
2023-01-20,29750.00
2023-01-27,29100.00
2023-02-03,27650.00
2023-02-10,26900.00
2023-02-17,26000.00
2023-02-24,26200.00
2023-03-03,25800.00
2023-03-10,27050.00
2023-03-17,27200.00
2023-03-24,27250.00
2023-03-31,26550.00
2023-04-07,25650.00
2023-04-14,25200.00
2023-04-21,25500.00
2023-04-28,26670.83
2023-05-05,26000.00
2023-05-12,25787.50
2023-05-19,29575.00
2023-05-26,31012.50
2023-05-31,31750.00
2023-06-09,32800.00
2023-06-16,33000.00
2023-06-23,31450.00
2023-06-30,31050.00
2023-07-07,44521.25
2023-07-14,42542.15
2023-07-21,41482.75
2023-07-28,39431.20
2023-08-04,37294.60
2023-08-11,33480.00
2023-08-18,35449.92
2023-08-25,40086.33
2023-09-08,39458.95
2023-09-15,37798.25
2023-09-22,37333.90
2023-09-29,37078.19
2023-10-06,42036.63
2023-10-13,37592.38
2023-10-20,37476.75
2023-10-27,37168.75
2023-11-03,36511.25
2023-11-10,36551.00
2023-11-17,37206.50
2023-11-24,37052.50
2023-12-01,36898.50
2023-12-08,36898.50
2023-12-15,37129.50
2023-12-22,36898.50
2023-12-29,37862.67
