Tanggal,Daging_Sapi_Paha_Depan
2020-01-03,120000
2020-01-10,120000
2020-01-17,120000
2020-01-24,120000
2020-01-31,120000
2020-02-07,120000
2020-02-14,120000
2020-02-21,120000
2020-02-28,120000
2020-03-06,120000
2020-03-13,120000
2020-03-20,120000
2020-03-27,120000
2020-04-03,120000
2020-04-10,120000
2020-04-17,120000
2020-04-24,120000
2020-04-30,120000
2020-05-01,120000
2020-05-08,120000
2020-05-15,121333.3333
2020-05-22,124833.3333
2020-06-05,120000
2020-06-12,120000
2020-06-19,120000
2020-06-26,120000
2020-07-03,120000
2020-07-10,120000
2020-07-17,120000
2020-07-24,120000
2020-07-31,120000
2020-07-07,120000
2020-07-14,120000
2020-07-21,120000
2020-07-28,120000
2020-09-04,120000
2020-09-11,120000
2020-09-18,120000
2020-09-25,120000
2020-09-30,120000
2020-10-02,120000
2020-10-09,120000
2020-10-16,120000
2020-10-23,120000
2020-11-06,120000
2020-11-13,120000
2020-11-20,120000
2020-11-27,120000
2020-12-04,120000
2020-12-11,120000
2020-12-18,120000
2020-12-25,120000
2020-12-31,120000
2021-01-01,120000
2021-01-08,120000
2021-01-15,120000
2021-01-22,120000
2021-02-05,120000
2021-02-12,120000
2021-02-19,120000
2021-02-26,120000
2021-03-05,120000
2021-03-12,120000
2021-03-19,120000
2021-03-26,120000
2021-03-31,120000
2021-04-02,120000
2021-04-09,125333.3333
2021-04-16,118000
2021-04-23,123333.3333
2021-05-07,125000
2021-05-14,125000
2021-05-21,116000
2021-05-28,116000
2021-06-04,117475
2021-06-11,132500
2021-06-18,132500
2021-06-25,120000
2021-07-02,117680
2021-07-09,132000
2021-07-16,132000
2021-07-23,133000
2021-07-30,134666.6667
2021-07-06,130000
2021-07-13,130000
2021-07-20,130000
2021-07-27,130000
2021-09-03,130000
2021-09-10,130000
2021-09-17,130000
2021-09-24,130000
2021-09-30,130000
2021-10-08,130000
2021-10-15,130000
2021-10-22,130000
2021-10-29,130000
2021-11-05,143333.3333
2021-11-12,143333.3333
2021-11-19,143333.3333
2021-11-26,143333.3333
2021-12-03,92480
2021-12-10,146666.6667
2021-12-17,146666.6667
2021-12-24,146666.6667
2021-12-31,147333.3333
2022-01-07,130000
2022-01-14,130000
2022-01-21,130000
2022-01-28,130000
2022-02-04,130000
2022-02-11,130000
2022-02-18,130000
2022-02-25,130000
2022-03-04,130000
2022-03-11,130000
2022-03-18,131500
2022-03-25,135000
2022-03-31,146000
2022-04-08,148666.6667
2022-04-15,146250
2022-04-22,141666.6667
2022-04-29,142333.3333
2022-05-06,150000
2022-05-13,146666.6667
2022-05-20,147083.3333
2022-05-27,146666.6667
2020-03-06,146666.6667
2020-03-13,146666.6667
2020-03-20,146666.6667
2020-03-27,146333.3333
2020-03-30,146666.6667
2022-07-08,146666.6667
2022-07-15,143000
2022-07-22,143333.3333
2022-07-29,143333.3333
2022-07-05,143333.3333
2022-07-12,143333.3333
2022-07-19,143333.3333
2022-07-26,143333.3333
2022-07-31,143333.3333
2022-09-09,143333.3333
2022-09-16,143333.3333
2022-09-23,143333.3333
2022-09-30,143333.3333
2022-10-08,145000
2022-10-15,140000
2022-10-22,140000
2022-10-29,140000
2022-11-04,140000
2022-11-11,
2022-11-18,
2022-11-25,
2022-11-30,140000
2022-12-09,140000
2022-12-16,140000
2022-12-23,140000
2022-12-30,140000
2023-01-06,140000
2023-01-13,140000
2023-01-20,145000
2023-01-27,145000
2023-02-03,145000
2023-02-10,145000
2023-02-17,145000
2023-02-24,145000
2023-03-03,145000
2023-03-10,145000
2023-03-17,145000
2023-03-24,145000
2023-03-31,145000
2023-04-07,140000
2023-04-14,140000
2023-04-21,140000
2023-04-28,140000
2023-05-05,140000
2023-05-12,140000
2023-05-19,140000
2023-05-26,140000
2023-05-31,140000
2023-06-09,140000
2023-06-16,140000
2023-06-23,140000
2023-06-30,140000
2023-07-07,140000
2023-07-14,140000
2023-07-21,124250
2023-07-28,140000
2023-08-04,140000
2023-08-11,140000
2023-08-18,140000
2023-08-25,140000
