Tanggal,Harga
2020-01-03,5250
2020-01-10,5250
2020-01-17,5250
2020-01-24,5250
2020-01-31,5250
2020-02-07,6166.666667
2020-02-14,6166.666667
2020-02-21,6166.666667
2020-02-28,6166.666667
2020-03-06,6166.666667
2020-03-13,6166.666667
2020-03-20,6166.666667
2020-03-27,6166.666667
2020-04-03,6166.666667
2020-04-10,6166.666667
2020-04-17,6166.666667
2020-04-24,6166.666667
2020-04-30,6166.666667
2020-05-01,6166.666667
2020-05-08,6166.666667
2020-05-15,6166.666667
2020-05-22,6166.666667
2020-06-05,6166.666667
2020-06-12,6166.666667
2020-06-19,6166.666667
2020-06-26,6200
2020-07-03,6166.666667
2020-07-10,6166.666667
2020-07-17,6166.666667
2020-07-24,6166.666667
2020-07-31,6166.666667
2020-07-07,6166.666667
2020-07-14,6220
2020-07-21,6500
2020-07-28,6166.666667
2020-09-04,6166.666667
2020-09-11,6166.666667
2020-09-18,6166.666667
2020-09-25,6166.666667
2020-09-30,6166.666667
2020-10-02,6166.666667
2020-10-09,6166.666667
2020-10-16,6166.666667
2020-10-23,6166.666667
2020-11-06,6166.666667
2020-11-13,6166.666667
2020-11-20,6166.666667
2020-11-27,6166.666667
2020-12-04,6166.666667
2020-12-11,6166.666667
2020-12-18,6166.666667
2020-12-25,6166.666667
2020-12-31,6166.666667
2021-01-01,6825
2021-01-08,6625
2021-01-15,6625
2021-01-22,6625
2021-02-05,6625
2021-02-12,6625
2021-02-19,6725
2021-02-26,6625
2021-03-05,6625
2021-03-12,6625
2021-03-19,6625
2021-03-26,6625
2021-03-31,6625
2021-04-02,6625
2021-04-09,6625
2021-04-16,6625
2021-04-23,6625
2021-05-07,17750
2021-05-14,18250
2021-05-21,18250
2021-05-28,17850
2021-06-04,15708.33333
2021-06-11,16166.66667
2021-06-18,16166.66667
2021-06-25,13633.33333
2021-07-02,16575
2021-07-09,20750
2021-07-16,20550
2021-07-23,20437.5
2021-07-30,20900
2021-07-06,6166.666667
2021-07-13,6333.333333
2021-07-20,6166.666667
2021-07-27,6166.666667
2021-09-03,6166.666667
2021-09-10,6166.666667
2021-09-17,6166.666667
2021-09-24,6166.666667
2021-09-30,6166.666667
2021-10-08,8000
2021-10-15,8000
2021-10-22,8000
2021-10-29,8000
2021-11-05,17250
2021-11-12,17250
2021-11-19,17250
2021-11-26,17250
2021-12-03,15000
2021-12-10,13500
2021-12-17,13500
2021-12-24,13500
2021-12-31,13500
2022-01-07,8000
2022-01-14,8000
2022-01-21,8000
2022-01-28,8000
2022-02-04,8375
2022-02-11,8150
2022-02-18,8200
2022-02-25,8400
2022-03-04,8666.666667
2022-03-11,8666.666667
2022-03-18,8666.666667
2022-03-25,8666.666667
2022-03-31,8666.666667
2022-04-08,8500
2022-04-15,8500
2022-04-22,8500
2022-04-29,8500
2022-05-06,9000
2022-05-13,8500
2022-05-20,8500
2022-05-27,8500
2020-03-06,8500
2020-03-13,8500
2020-03-20,8500
2020-03-27,8500
2020-03-30,8500
2022-07-08,8600
2022-07-15,8500
2022-07-22,8500
2022-07-29,8500
2022-07-05,8500
2022-07-12,8500
2022-07-19,8000
2022-07-26,8500
2022-07-31,8500
2022-09-09,8500
2022-09-16,8500
2022-09-23,8500
2022-09-30,8500
2022-10-08,8500
2022-10-15,8000
2022-10-22,8500
2022-10-29,8500
2022-11-04,8500
2022-11-11,8500
2022-11-18,8500
2022-11-25,8500
2022-11-30,8500
2022-12-09,8500
2022-12-16,8500
2022-12-23,8500
2022-12-30,8500
2023-01-06,16500
2023-01-13,16500
2023-01-20,16500
2023-01-27,16500
2023-02-03,16500
2023-02-10,16600
2023-02-17,16500
2023-02-24,16500
2023-03-03,16500
2023-03-10,16000
2023-03-17,16500
2023-03-24,16500
2023-03-31,16500
2023-04-07,16500
2023-04-14,16500
2023-04-21,16750
2023-04-28,17000
2023-05-05,17375
2023-05-12,17500
2023-05-19,17500
2023-05-26,17500
2023-05-31,17500
2023-06-09,17400
2023-06-16,17500
2023-06-23,17300
2023-06-30,17500
2023-07-07,17500
2023-07-14,17500
2023-07-21,17500
2023-07-28,17500
2023-08-04,20666.66667
2023-08-11,19733.33333
2023-08-18,20000
2023-08-25,20000
2023-09-08,8750
2023-09-08,10000
2023-09-08,8750
2023-09-08,8750
