Tanggal,Ikan_Bandeng
2020-01-03,30000
2020-01-10,31000
2020-01-17,30000
2020-01-24,31000
2020-01-31,31000
2020-02-07,30000
2020-02-14,30000
2020-02-21,30000
2020-02-28,30000
2020-03-06,30000
2020-03-13,30000
2020-03-20,29800
2020-03-27,29750
2020-04-03,30000
2020-04-10,30000
2020-04-17,30000
2020-04-24,30000
2020-04-30,30000
2020-05-01,30000
2020-05-08,30000
2020-05-15,30000
2020-05-22,30000
2020-06-05,30000
2020-06-12,30000
2020-06-19,30000
2020-06-26,30000
2020-07-03,30000
2020-07-10,30000
2020-07-17,30000
2020-07-24,30000
2020-07-31,29625
2020-07-07,29400
2020-07-14,29100
2020-07-21,29250
2020-07-28,29900
2020-09-04,29800
2020-09-11,29900
2020-09-18,29900
2020-09-25,30000
2020-09-30,29800
2020-10-02,30000
2020-10-09,29900
2020-10-16,30000
2020-10-23,30000
2020-11-06,29700
2020-11-13,29600
2020-11-20,29800
2020-11-27,29300
2020-12-04,30000
2020-12-11,29875
2020-12-18,30000
2020-12-25,30000
2020-12-31,30000
2021-01-01,29200
2021-01-08,28250
2021-01-15,27750
2021-01-22,27850
2021-02-05,27750
2021-02-12,27875
2021-02-19,27850
2021-02-26,28000
2021-03-05,27700
2021-03-12,27562.5
2021-03-19,27850
2021-03-26,28250
2021-03-31,28250
2021-04-02,28250
2021-04-09,28250
2021-04-16,29000
2021-04-23,29500
2021-05-07,33250
2021-05-14,34000
2021-05-21,33250
2021-05-28,32500
2021-06-04,35166.66667
2021-06-11,35466.66667
2021-06-18,35333.33333
2021-06-25,35133.33333
2021-07-02,33850
2021-07-09,33650
2021-07-16,33500
2021-07-23,33500
2021-07-30,33500
2021-07-06,29333.33333
2021-07-13,29333.33333
2021-07-20,29333.33333
2021-07-27,29400
2021-09-03,31333.33333
2021-09-10,31000
2021-09-17,21666.66667
2021-09-24,31000
2021-09-30,31000
2021-10-08,31250
2021-10-15,31250
2021-10-22,31250
2021-10-29,31250
2021-11-05,31250
2021-11-12,31250
2021-11-19,31250
2021-11-26,31050
2021-12-03,30950
2021-12-10,30700
2021-12-17,31000
2021-12-24,31000
2021-12-31,31000
2022-01-07,31466.66667
2022-01-14,32466.66667
2022-01-21,33333.33333
2022-01-28,33333.33333
2022-02-04,35416.66667
2022-02-11,35333.33333
2022-02-18,35000
2022-02-25,35000
2022-03-04,37500
2022-03-11,37500
2022-03-18,37500
2022-03-25,37500
2022-03-31,37500
2022-04-08,35000
2022-04-15,35000
2022-04-22,35866.66667
2022-04-29,35000
2022-05-06,35000
2022-05-13,35000
2022-05-20,35000
2022-05-27,35000
2020-03-06,35000
2020-03-13,35000
2020-03-20,35000
2020-03-27,35000
2020-03-30,35000
2022-07-08,35000
2022-07-15,35000
2022-07-22,35000
2022-07-29,35000
2022-07-05,35000
2022-07-12,35000
2022-07-19,35000
2022-07-26,35800
2022-07-31,35000
2022-09-09,35000
2022-09-16,35000
2022-09-23,35000
2022-09-30,35000
2022-10-08,35000
2022-10-15,35000
2022-10-22,35000
2022-10-29,35000
2022-11-04,35000
2022-11-11,35000
2022-11-18,35000
2022-11-25,35000
2022-11-30,35800
2022-12-09,35000
2022-12-16,35800
2022-12-23,35000
2022-12-30,35000
2023-01-06,39333.33333
2023-01-13,43333.33333
2023-01-20,41666.66667
2023-01-27,41666.66667
2023-02-03,42200
2023-02-10,44333.33333
2023-02-17,41666.66667
2023-02-24,41666.66667
2023-03-03,41666.66667
2023-03-10,38666.66667
2023-03-17,38333.33333
2023-03-24,38333.33333
2023-03-31,38333.33333
2023-04-07,38333.33333
2023-04-14,38333.33333
2023-04-21,38333.33333
2023-04-28,38333.33333
2023-05-05,38333.33333
2023-05-12,38333.33333
2023-05-19,38333.33333
2023-05-26,38333.33333
2023-05-31,38333.33333
2023-06-09,38200
2023-06-16,38333.33333
2023-06-23,38333.33333
2023-06-30,38333.33333
2023-07-07,38333.33333
2023-07-14,38333.33333
2023-07-21,38333.33333
2023-07-28,38333.33333
2023-08-04,38200
2023-08-11,38066.66667
2023-08-18,38333.33333
2023-08-25,38333.33333
