Tanggal,Ikan_Cakalang
2020-01-03,10000
2020-01-10,10000
2020-01-17,10000
2020-01-24,10000
2020-01-31,10000
2020-02-07,20000
2020-02-14,20000
2020-02-21,20000
2020-02-28,20000
2020-03-06,20666.66667
2020-03-13,20000
2020-03-20,20000
2020-03-27,20000
2020-04-03,20000
2020-04-10,20000
2020-04-17,20000
2020-04-24,20000
2020-04-30,20000
2020-05-01,20000
2020-05-08,20000
2020-05-15,20000
2020-05-22,20000
2020-06-05,20000
2020-06-12,20000
2020-06-19,20000
2020-06-26,20000
2020-07-03,20000
2020-07-10,20000
2020-07-17,20000
2020-07-24,20000
2020-07-31,20800
2020-07-07,20400
2020-07-14,20733.33333
2020-07-21,20166.66667
2020-07-28,18766.66667
2020-09-04,20333.33333
2020-09-11,20333.33333
2020-09-18,20333.33333
2020-09-25,20333.33333
2020-09-30,20333.33333
2020-10-02,20333.33333
2020-10-09,20333.33333
2020-10-16,20333.33333
2020-10-23,20222.22222
2020-11-06,20333.33333
2020-11-13,20333.33333
2020-11-20,20333.33333
2020-11-27,20333.33333
2020-12-04,20333.33333
2020-12-11,20333.33333
2020-12-18,20333.33333
2020-12-25,20200
2020-12-31,20333.33333
2021-01-01,18700
2021-01-08,18300
2021-01-15,19000
2021-01-22,19000
2021-02-05,19000
2021-02-12,19000
2021-02-19,19000
2021-02-26,18500
2021-03-05,19000
2021-03-12,19000
2021-03-19,19000
2021-03-26,19000
2021-03-31,19250
2021-04-02,19000
2021-04-09,19000
2021-04-16,19000
2021-04-23,19000
2021-05-07,80000
2021-05-14,80000
2021-05-21,80000
2021-05-28,80000
2021-06-04,38500
2021-06-11,8000
2021-06-18,8000
2021-06-25,8000
2021-07-02,24400
2021-07-09,32500
2021-07-16,32500
2021-07-23,32500
2021-07-30,32500
2021-07-06,19000
2021-07-13,19000
2021-07-20,19000
2021-07-27,19000
2021-09-03,19000
2021-09-10,19000
2021-09-17,19000
2021-09-24,19000
2021-09-30,19000
2021-10-08,29000
2021-10-15,29000
2021-10-22,29000
2021-10-29,29000
2021-11-05,29000
2021-11-12,29000
2021-11-19,29000
2021-11-26,29000
2021-12-03,31100
2021-12-10,32500
2021-12-17,32500
2021-12-24,32500
2021-12-31,32500
2022-01-07,30000
2022-01-14,30000
2022-01-21,30666.66667
2022-01-28,30333.33333
2022-02-04,30000
2022-02-11,30000
2022-02-18,30000
2022-02-25,30000
2022-03-04,29200
2022-03-11,29000
2022-03-18,29000
2022-03-25,29000
2022-03-31,29000
2022-04-08,29333.33333
2022-04-15,29333.33333
2022-04-22,29666.66667
2022-04-29,29333.33333
2022-05-06,30000
2022-05-13,30000
2022-05-20,30000
2022-05-27,30000
2020-03-06,30000
2020-03-13,30000
2020-03-20,30000
2020-03-27,30000
2020-03-30,31666.66667
2022-07-08,31666.66667
2022-07-15,31666.66667
2022-07-22,31666.66667
2022-07-29,31666.66667
2022-07-05,31666.66667
2022-07-12,31666.66667
2022-07-19,31666.66667
2022-07-26,31666.66667
2022-07-31,31666.66667
2022-09-09,31666.66667
2022-09-16,31666.66667
2022-09-23,31666.66667
2022-09-30,31666.66667
2022-10-08,31666.66667
2022-10-15,31666.66667
2022-10-22,31666.66667
2022-10-29,31666.66667
2022-11-04,31666.66667
2022-11-11,31666.66667
2022-11-18,31666.66667
2022-11-25,31666.66667
2022-11-30,32466.66667
2022-12-09,31666.66667
2022-12-16,31666.66667
2022-12-23,31666.66667
2022-12-30,31666.66667
2023-01-06,34333.33333
2023-01-13,38333.33333
2023-01-20,38250
2023-01-27,37666.66667
2023-02-03,37666.66667
2023-02-10,37666.66667
2023-02-17,37666.66667
2023-02-24,37666.66667
2023-03-03,37666.66667
2023-03-10,34666.66667
2023-03-17,34333.33333
2023-03-24,34333.33333
2023-03-31,34333.33333
2023-04-07,34333.33333
2023-04-14,34333.33333
2023-04-21,34333.33333
2023-04-28,34333.33333
2023-05-05,34333.33333
2023-05-12,34333.33333
2023-05-19,34333.33333
2023-05-26,34333.33333
2023-05-31,34333.33333
2023-06-09,34333.33333
2023-06-16,34333.33333
2023-06-23,34333.33333
2023-06-30,34333.33333
2023-07-07,34333.33333
2023-07-14,34333.33333
2023-07-21,34333.33333
2023-07-28,34333.33333
2023-08-04,36500
2023-08-11,36500
2023-08-18,36500
2023-09-08,29500
2023-09-08,35000
2023-09-08,29500
2023-09-08,29500

