Tanggal,Harga
2020-01-03,6000
2020-01-10,6000
2020-01-17,6000
2020-01-24,6000
2020-01-31,6000
2020-02-07,6500
2020-02-14,6500
2020-02-21,6500
2020-02-28,6500
2020-03-06,6500
2020-03-13,6500
2020-03-20,6500
2020-03-27,6500
2020-04-03,6500
2020-04-10,6500
2020-04-17,6500
2020-04-24,6500
2020-04-30,6500
2020-05-01,6500
2020-05-08,6500
2020-05-15,6500
2020-05-22,6500
2020-06-05,6500
2020-06-12,6500
2020-06-19,6500
2020-06-26,6500
2020-07-03,6500
2020-07-10,6500
2020-07-17,6500
2020-07-24,6500
2020-07-31,6500
2020-07-07,6500
2020-07-14,6500
2020-07-21,6500
2020-07-28,6500
2020-09-04,6500
2020-09-11,6500
2020-09-18,6500
2020-09-25,6500
2020-09-30,6500
2020-10-02,6500
2020-10-09,6500
2020-10-16,6500
2020-10-23,6500
2020-11-06,6500
2020-11-13,6500
2020-11-20,6500
2020-11-27,6500
2020-12-04,6500
2020-12-11,6500
2020-12-18,6500
2020-12-25,6500
2020-12-31,6500
2021-01-01,7866.666667
2021-01-08,8000
2021-01-15,8000
2021-01-22,8000
2021-02-05,8000
2021-02-12,8000
2021-02-19,7466.666667
2021-02-26,8000
2021-03-05,8000
2021-03-12,8000
2021-03-19,8000
2021-03-26,8000
2021-03-31,8000
2021-04-02,8000
2021-04-09,8000
2021-04-16,8000
2021-04-23,7466.666667
2021-05-07,15000
2021-05-14,15666.66667
2021-05-21,15600
2021-05-28,15533.33333
2021-06-04,9000
2021-06-11,9000
2021-06-18,9000
2021-06-25,8000
2021-07-02,8666.666667
2021-07-09,8666.666667
2021-07-16,8666.666667
2021-07-23,8666.666667
2021-07-30,8666.666667
2021-07-06,8000
2021-07-13,8000
2021-07-20,8000
2021-07-27,8000
2021-09-03,8000
2021-09-10,8000
2021-09-17,8000
2021-09-24,8000
2021-09-30,8000
2021-10-08,8000
2021-10-15,8000
2021-10-22,8000
2021-10-29,8000
2021-11-05,8666.666667
2021-11-12,8666.666667
2021-11-19,8666.666667
2021-11-26,8666.666667
2021-12-03,8266.666667
2021-12-10,8000
2021-12-17,8000
2021-12-24,8000
2021-12-31,8000
2022-01-07,8000
2022-01-14,8000
2022-01-21,8000
2022-01-28,8000
2022-02-04,8000
2022-02-11,8000
2022-02-18,8000
2022-02-25,8000
2022-03-04,8000
2022-03-11,8000
2022-03-18,8000
2022-03-25,8000
2022-03-31,8000
2022-04-08,8000
2022-04-15,8000
2022-04-22,8000
2022-04-29,8000
2022-05-06,8000
2022-05-13,8000
2022-05-20,8000
2022-05-27,8000
2020-03-06,8000
2020-03-13,8000
2020-03-20,8000
2020-03-27,8000
2020-03-30,8000
2022-07-08,8000
2022-07-15,8000
2022-07-22,8000
2022-07-29,8000
2022-07-05,8000
2022-07-12,8000
2022-07-19,8000
2022-07-26,8000
2022-07-31,8000
2022-09-09,8000
2022-09-16,8000
2022-09-23,8000
2022-09-30,8125
2022-10-08,8000
2022-10-15,8000
2022-10-22,8000
2022-10-29,7500
2022-11-04,8000
2022-11-11,8000
2022-11-18,8000
2022-11-25,8000
2022-11-30,8000
2022-12-09,8000
2022-12-16,8000
2022-12-23,8000
2022-12-30,8000
2023-01-06,8000
2023-01-13,8000
2023-01-20,8000
2023-01-27,7437.5
2023-02-03,7250
2023-02-10,7250
2023-02-17,7250
2023-02-24,7250
2023-03-03,7250
2023-03-10,7250
2023-03-17,7250
2023-03-24,7250
2023-03-31,7250
2023-04-07,7250
2023-04-14,7250
2023-04-21,7250
2023-04-28,7250
2023-05-05,7250
2023-05-12,7250
2023-05-19,7250
2023-05-26,7250
2023-05-31,7250
2023-06-09,7750
2023-06-16,7750
2023-06-23,7750
2023-06-30,7750
2023-07-07,8000
2023-07-14,8000
2023-07-21,8000
2023-07-28,8000
2023-08-04,8000
2023-08-11,8000
2023-08-18,8000
2023-08-25,8000
2023-09-08,8000
2023-09-08,8000
2023-09-08,8000
2023-09-08,8000
