Tanggal,Kacang_Hijau
2020-01-03,11500
2020-01-10,11500
2020-01-17,11500
2020-01-24,11500
2020-01-31,11500
2020-02-07,14000
2020-02-14,14000
2020-02-21,14000
2020-02-28,14266.66667
2020-03-06,14000
2020-03-13,14000
2020-03-20,14000
2020-03-27,14083.33333
2020-04-03,15333.33333
2020-04-10,15333.33333
2020-04-17,16133.33333
2020-04-24,16800
2020-04-30,17333.33333
2020-05-01,16833.33333
2020-05-08,16800
2020-05-15,16800
2020-05-22,16800
2020-06-05,16666.66667
2020-06-12,16666.66667
2020-06-19,17066.66667
2020-06-26,17066.66667
2020-07-03,17000
2020-07-10,17133.33333
2020-07-17,17066.66667
2020-07-24,16866.66667
2020-07-31,16200
2020-07-07,16000
2020-07-14,16000
2020-07-21,16000
2020-07-28,16000
2020-09-04,16000
2020-09-11,16000
2020-09-18,15800
2020-09-25,15933.33333
2020-09-30,16000
2020-10-02,15266.66667
2020-10-09,15000
2020-10-16,15000
2020-10-23,15000
2020-11-06,15000
2020-11-13,15000
2020-11-20,15000
2020-11-27,15000
2020-12-04,15000
2020-12-11,15000
2020-12-18,15000
2020-12-25,15000
2020-12-31,15000
2021-01-01,18100
2021-01-08,17650
2021-01-15,17700
2021-01-22,18000
2021-02-05,17750
2021-02-12,17750
2021-02-19,18150
2021-02-26,18250
2021-03-05,18100
2021-03-12,17750
2021-03-19,17950
2021-03-26,18250
2021-03-31,18250
2021-04-02,18750
2021-04-09,18900
2021-04-16,19500
2021-04-23,19575
2021-05-07,27000
2021-05-14,27000
2021-05-21,27450
2021-05-28,27000
2021-06-04,20083.33333
2021-06-11,18000
2021-06-18,18000
2021-06-25,18000
2021-07-02,19700
2021-07-09,19625
2021-07-16,19625
2021-07-23,19625
2021-07-30,19343.75
2021-07-06,16666.66667
2021-07-13,16666.66667
2021-07-20,16666.66667
2021-07-27,16666.66667
2021-09-03,18000
2021-09-10,18000
2021-09-17,18000
2021-09-24,18000
2021-09-30,18000
2021-10-08,24500
2021-10-15,24250
2021-10-22,23562.5
2021-10-29,23800
2021-11-05,18325
2021-11-12,18375
2021-11-19,18375
2021-11-26,18375
2021-12-03,18125
2021-12-10,18125
2021-12-17,18125
2021-12-24,18125
2021-12-31,18125
2022-01-07,22900
2022-01-14,23050
2022-01-21,23050
2022-01-28,23150
2022-02-04,23062.5
2022-02-11,23150
2022-02-18,23450
2022-02-25,23300
2022-03-04,22666.66667
2022-03-11,22800
2022-03-18,22666.66667
2022-03-25,22666.66667
2022-03-31,22666.66667
2022-04-08,23050
2022-04-15,23000
2022-04-22,23000
2022-04-29,23000
2022-05-06,22000
2022-05-13,23000
2022-05-20,23000
2022-05-27,22625
2020-03-06,22750
2020-03-13,23000
2020-03-20,22900
2020-03-27,23000
2020-03-30,23000
2022-07-08,23000
2022-07-15,23000
2022-07-22,23000
2022-07-29,23000
2022-07-05,23000
2022-07-12,23000
2022-07-19,23000
2022-07-26,23000
2022-07-31,23000
2022-09-09,23000
2022-09-16,23000
2022-09-23,23350
2022-09-30,23300
2022-10-08,23450
2022-10-15,23300
2022-10-22,21750
2022-10-29,23450
2022-11-04,23350
2022-11-11,23300
2022-11-18,23300
2022-11-25,23250
2022-11-30,23250
2022-12-09,22050
2022-12-16,23250
2022-12-23,23250
2022-12-30,23250
2023-01-06,23700
2023-01-13,23450
2023-01-20,23250
2023-01-27,23250
2023-02-03,23250
2023-02-10,23250
2023-02-17,23250
2023-02-24,23250
2023-03-03,23150
2023-03-10,23250
2023-03-17,23450
2023-03-24,23416.66667
2023-03-31,23700
2023-04-07,23750
2023-04-14,24150
2023-04-21,24250
2023-04-28,24250
2023-05-05,24250
2023-05-12,24250
2023-05-19,24250
2023-05-26,24250
2023-05-31,24250
2023-06-09,24250
2023-06-16,24250
2023-06-23,24250
2023-06-30,23750
2023-07-07,24450
2023-07-14,24250
2023-07-21,24250
2023-07-28,24150
2023-08-04,25000
2023-08-11,25000
2023-08-18,25000
2023-08-25,25000
2023-09-08,22500
2023-09-08,23100
2023-09-08,22500
2023-09-08,22500
