Tanggal,Kacang_Tanah
2020-01-03,23500
2020-01-10,23000
2020-01-17,23200
2020-01-24,23000
2020-01-31,23000
2020-02-07,21333.33333
2020-02-14,21333.33333
2020-02-21,21333.33333
2020-02-28,21333.33333
2020-03-06,21466.66667
2020-03-13,21666.66667
2020-03-20,21666.66667
2020-03-27,21916.66667
2020-04-03,23133.33333
2020-04-10,23000
2020-04-17,23866.66667
2020-04-24,24400
2020-04-30,24666.66667
2020-05-01,24666.66667
2020-05-08,25666.66667
2020-05-15,26133.33333
2020-05-22,26500
2020-06-05,26666.66667
2020-06-12,26666.66667
2020-06-19,26266.66667
2020-06-26,25733.33333
2020-07-03,25666.66667
2020-07-10,25466.66667
2020-07-17,25333.33333
2020-07-24,24933.33333
2020-07-31,24333.33333
2020-07-07,24400
2020-07-14,24000
2020-07-21,24000
2020-07-28,24000
2020-09-04,24000
2020-09-11,24133.33333
2020-09-18,23933.33333
2020-09-25,23866.66667
2020-09-30,23733.33333
2020-10-02,23733.33333
2020-10-09,23666.66667
2020-10-16,23666.66667
2020-10-23,23666.66667
2020-11-06,23666.66667
2020-11-13,23666.66667
2020-11-20,23800
2020-11-27,23666.66667
2020-12-04,23666.66667
2020-12-11,23166.66667
2020-12-18,23000
2020-12-25,23000
2020-12-31,23000
2021-01-01,24000
2021-01-08,23400
2021-01-15,23450
2021-01-22,23500
2021-02-05,23250
2021-02-12,23250
2021-02-19,23500
2021-02-26,23400
2021-03-05,23200
2021-03-12,23000
2021-03-19,23100
2021-03-26,23250
2021-03-31,23250
2021-04-02,23500
2021-04-09,24400
2021-04-16,25750
2021-04-23,25800
2021-05-07,53437.5
2021-05-14,53500
2021-05-21,53500
2021-05-28,53500
2021-06-04,18250
2021-06-11,17833.33333
2021-06-18,17833.33333
2021-06-25,17833.33333
2021-07-02,18175
2021-07-09,15625
2021-07-16,15625
2021-07-23,15625
2021-07-30,15437.5
2021-07-06,25000
2021-07-13,25000
2021-07-20,25000
2021-07-27,25450
2021-09-03,25333.33333
2021-09-10,25333.33333
2021-09-17,25333.33333
2021-09-24,25333.33333
2021-09-30,25333.33333
2021-10-08,25500
2021-10-15,25500
2021-10-22,25750
2021-10-29,25750
2021-11-05,21000
2021-11-12,21000
2021-11-19,21000
2021-11-26,21000
2021-12-03,21300
2021-12-10,21500
2021-12-17,21500
2021-12-24,21500
2021-12-31,21500
2022-01-07,25950
2022-01-14,25700
2022-01-21,25200
2022-01-28,25150
2022-02-04,25375
2022-02-11,25825
2022-02-18,25850
2022-02-25,25950
2022-03-04,26000
2022-03-11,26000
2022-03-18,26000
2022-03-25,26000
2022-03-31,26000
2022-04-08,25750
2022-04-15,25750
2022-04-22,25250
2022-04-29,25250
2022-05-06,26166.66667
2022-05-13,25000
2022-05-20,25000
2022-05-27,25000
2020-03-06,25000
2020-03-13,25000
2020-03-20,25000
2020-03-27,25000
2020-03-30,25000
2022-07-08,25000
2022-07-15,25000
2022-07-22,25000
2022-07-29,25000
2022-07-05,25000
2022-07-12,25000
2022-07-19,25437.5
2022-07-26,25500
2022-07-31,25500
2022-09-09,25500
2022-09-16,25500
2022-09-23,26750
2022-09-30,26750
2022-10-08,26750
2022-10-15,26750
2022-10-22,26750
2022-10-29,26750
2022-11-04,26750
2022-11-11,26650
2022-11-18,26650
2022-11-25,26250
2022-11-30,26250
2022-12-09,26250
2022-12-16,26250
2022-12-23,26250
2022-12-30,26250
2023-01-06,20500
2023-01-13,20350
2023-01-20,20250
2023-01-27,20250
2023-02-03,20250
2023-02-10,20250
2023-02-17,20100
2023-02-24,20250
2023-03-03,20175
2023-03-10,20175
2023-03-17,20250
2023-03-24,19583.33333
2023-03-31,20250
2023-04-07,20250
2023-04-14,20250
2023-04-21,20250
2023-04-28,20500
2023-05-05,21250
2023-05-12,20625
2023-05-19,20625
2023-05-26,20625
2023-05-31,20625
2023-06-09,20625
2023-06-16,20625
2023-06-23,20625
2023-06-30,20625
2023-07-07,20675
2023-07-14,20625
2023-07-21,20625
2023-07-28,20625
2023-08-04,18833.33333
2023-08-11,18833.33333
2023-08-18,18833.33333
2023-08-25,18833.33333
2023-09-08,26000
2023-09-08,25400
2023-09-08,25000
2023-09-08,25000

