Tanggal,Mie Instan
2020-01-03,14750
2020-01-10,13550
2020-01-17,13250
2020-01-24,13250
2020-01-31,13250
2020-02-07,9666.666667
2020-02-14,9666.666667
2020-02-21,9666.666667
2020-02-28,9666.666667
2020-03-06,9666.666667
2020-03-13,9666.666667
2020-03-20,9666.666667
2020-03-27,9666.666667
2020-04-03,9666.666667
2020-04-10,9666.666667
2020-04-17,9666.666667
2020-04-24,9666.666667
2020-04-30,9666.666667
2020-05-01,9666.666667
2020-05-08,10733.33333
2020-05-15,11000
2020-05-22,10750
2020-06-05,11000
2020-06-12,11000
2020-06-19,11000
2020-06-26,11000
2020-07-03,11000
2020-07-10,11000
2020-07-17,10466.66667
2020-07-24,10333.33333
2020-07-31,10500
2020-07-07,10333.33333
2020-07-14,10200
2020-07-21,10333.33333
2020-07-28,10333.33333
2020-09-04,10333.33333
2020-09-11,10333.33333
2020-09-18,10333.33333
2020-09-25,10333.33333
2020-09-30,10333.33333
2020-10-02,10400
2020-10-09,10333.33333
2020-10-16,10333.33333
2020-10-23,10333.33333
2020-11-06,10333.33333
2020-11-13,10333.33333
2020-11-20,10333.33333
2020-11-27,10333.33333
2020-12-04,10333.33333
2020-12-11,10333.33333
2020-12-18,10333.33333
2020-12-25,10333.33333
2020-12-31,10333.33333
2021-01-01,7825
2021-01-08,7225
2021-01-15,7125
2021-01-22,7125
2021-02-05,7125
2021-02-12,7125
2021-02-19,7125
2021-02-26,7125
2021-03-05,7125
2021-03-12,7125
2021-03-19,7125
2021-03-26,7125
2021-03-31,7125
2021-04-02,7125
2021-04-09,7425
2021-04-16,8375
2021-04-23,8175
2021-05-07,20000
2021-05-14,20000
2021-05-21,20000
2021-05-28,20000
2021-06-04,12666.66667
2021-06-11,11833.33333
2021-06-18,11833.33333
2021-06-25,11833.33333
2021-07-02,9800
2021-07-09,10250
2021-07-16,10250
2021-07-23,10250
2021-07-30,10250
2021-07-06,10000
2021-07-13,10000
2021-07-20,10000
2021-07-27,10000
2021-09-03,10000
2021-09-10,10000
2021-09-17,10000
2021-09-24,10000
2021-09-30,10000
2021-10-08,2500
2021-10-15,2500
2021-10-22,2500
2021-10-29,2500
2021-11-05,10675
2021-11-12,10625
2021-11-19,10625
2021-11-26,10475
2021-12-03,9575
2021-12-10,8875
2021-12-17,8900
2021-12-24,8875
2021-12-31,8875
2022-01-07,2500
2022-01-14,2500
2022-01-21,2500
2022-01-28,2500
2022-02-04,2500
2022-02-11,2512.5
2022-02-18,2500
2022-02-25,2500
2022-03-04,2633.333333
2022-03-11,2666.666667
2022-03-18,2666.666667
2022-03-25,2666.666667
2022-03-31,2633.333333
2022-04-08,2500
2022-04-15,2500
2022-04-22,2500
2022-04-29,2500
2022-05-06,2500
2022-05-13,2500
2022-05-20,2531.25
2022-05-27,2500
2020-03-06,2500
2020-03-13,2625
2020-03-20,2625
2020-03-27,2625
2020-03-30,2625
2022-07-08,2750
2022-07-15,2675
2022-07-22,2650
2022-07-29,2750
2022-07-05,2750
2022-07-12,2750
2022-07-19,2750
2022-07-26,2750
2022-07-31,2750
2022-09-09,2750
2022-09-16,2750
2022-09-23,2825
2022-09-30,2875
2022-10-08,2850
2022-10-15,2875
2022-10-22,2875
2022-10-29,2875
2022-11-04,2875
2022-11-11,2987.5
2022-11-18,2975
2022-11-25,2975
2022-11-30,3000
2022-12-09,3000
2022-12-16,3000
2022-12-23,2987.5
2022-12-30,3000
2023-01-06,4250
2023-01-13,4250
2023-01-20,4250
2023-01-27,4250
2023-02-03,4250
2023-02-10,4250
2023-02-17,4250
2023-02-24,4250
2023-03-03,4250
2023-03-10,4350
2023-03-17,4375
2023-03-24,4375
2023-03-31,4375
2023-04-07,4375
2023-04-14,4775
2023-04-21,4625
2023-04-28,4708.333333
2023-05-05,5375
2023-05-12,4875
2023-05-19,5375
2023-05-26,4575
2023-05-31,4375
2023-06-09,4375
2023-06-16,4375
2023-06-23,4575
2023-06-30,4375
2023-07-07,5375
2023-07-14,5375
2023-07-21,5375
2023-07-28,5375
2023-08-04,6033.333333
2023-08-11,6033.333333
2023-08-18,6000
2023-08-25,6000
