Tanggal,Minyak_Goreng_Curah
2020-01-03,12000
2020-01-10,12300
2020-01-17,13250
2020-01-24,13250
2020-01-31,13250
2020-02-07,13133.33333
2020-02-14,13000
2020-02-21,12966.66667
2020-02-28,13000
2020-03-06,12833.33333
2020-03-13,12766.66667
2020-03-20,12500
2020-03-27,12166.66667
2020-04-03,11333.33333
2020-04-10,11250
2020-04-17,11466.66667
2020-04-24,11500
2020-04-30,11466.66667
2020-05-01,11500
2020-05-08,11433.33333
2020-05-15,11166.66667
2020-05-22,11066.66667
2020-06-05,10666.66667
2020-06-12,10666.66667
2020-06-19,10666.66667
2020-06-26,10666.66667
2020-07-03,10550
2020-07-10,10333.33333
2020-07-17,10333.33333
2020-07-24,10433.33333
2020-07-31,10833.33333
2020-07-07,10940
2020-07-14,11100
2020-07-21,11183.33333
2020-07-28,11100
2020-09-04,11273.33333
2020-09-11,11833.33333
2020-09-18,11933.33333
2020-09-25,12066.66667
2020-09-30,12066.66667
2020-10-02,12200
2020-10-09,12233.33333
2020-10-16,12186.66667
2020-10-23,12233.33333
2020-11-06,12060
2020-11-13,11800
2020-11-20,11800
2020-11-27,11800
2020-12-04,11800
2020-12-11,11950
2020-12-18,11950
2020-12-25,11950
2020-12-31,11950
2021-01-01,12410
2021-01-08,12387.5
2021-01-15,12387.5
2021-01-22,12037.5
2021-02-05,12037.5
2021-02-12,12037.5
2021-02-19,12037.5
2021-02-26,12037.5
2021-03-05,12082.5
2021-03-12,12262.5
2021-03-19,12262.5
2021-03-26,12287.5
2021-03-31,12262.5
2021-04-02,12262.5
2021-04-09,12262.5
2021-04-16,12262.5
2021-04-23,12307.5
2021-05-07,11112.5
2021-05-14,11315
2021-05-21,11450
2021-05-28,12000
2021-06-04,12686.66667
2021-06-11,12596.66667
2021-06-18,12866.66667
2021-06-25,12866.66667
2021-07-02,12703.57143
2021-07-09,11897.5
2021-07-16,12100
2021-07-23,12100
2021-07-30,12268.75
2021-07-06,13800
2021-07-13,13800
2021-07-20,13800
2021-07-27,13800
2021-09-03,13200
2021-09-10,13366.66667
2021-09-17,13366.66667
2021-09-24,13366.66667
2021-09-30,13426.66667
2021-10-08,14075
2021-10-15,14075
2021-10-22,15753.125
2021-10-29,15862.5
2021-11-05,14812.5
2021-11-12,14812.5
2021-11-19,14812.5
2021-11-26,14812.5
2021-12-03,15510
2021-12-10,16050
2021-12-17,16860
2021-12-24,15700
2021-12-31,17100
2022-01-07,16762.5
2022-01-14,16897.5
2022-01-21,17325
2022-01-28,17750
2022-02-04,16876.25
2022-02-11,16200
2022-02-18,16425
2022-02-25,15630
2022-03-04,15011.11111
2022-03-11,13933.33333
2022-03-18,14353.33333
2022-03-25,18053.33333
2022-03-31,19826.66667
2022-04-08,19500
2022-04-15,17131.25
2022-04-22,14375
2022-04-29,14000
2022-05-06,15100
2022-05-13,14550
2022-05-20,14957.5
2022-05-27,15316.25
2020-03-06,15200
2020-03-13,15525
2020-03-20,15540
2020-03-27,15705
2020-03-30,15150
2022-07-08,14715
2022-07-15,14525
2022-07-22,14525
2022-07-29,13400
2022-07-05,13175
2022-07-12,13300
2022-07-19,13187.5
2022-07-26,13187.5
2022-07-31,13187.5
2022-09-09,13210
2022-09-16,13187.5
2022-09-23,13187.5
2022-09-30,12727.5
2022-10-08,12612.5
2022-10-15,12612.5
2022-10-22,12805
2022-10-29,12705
2022-11-04,12607.5
2022-11-11,12612.5
2022-11-18,12412.5
2022-11-25,12112.5
2022-11-30,12112.5
2022-12-09,12182.5
2022-12-16,12112.5
2022-12-23,12112.5
2022-12-30,12112.5
2023-01-06,13825
2023-01-13,13825
2023-01-20,14050
2023-01-27,14050
2023-02-03,14635
2023-02-10,15025
2023-02-17,15225
2023-02-24,15045
2023-03-03,14955
2023-03-10,14475
2023-03-17,14275
2023-03-24,14275
2023-03-31,14275
2023-04-07,14275
2023-04-14,14275
2023-04-21,14275
2023-04-28,14275
2023-05-05,14275
2023-05-12,14275
2023-05-19,14275
2023-05-26,14275
2023-05-31,14275
2023-06-09,14275
2023-06-16,14275
2023-06-23,14275
2023-06-30,14275
2023-07-07,14275
2023-07-14,14275
2023-07-21,14275
2023-07-28,14275
2023-08-04,15033.33333
2023-08-11,15033.33333
2023-08-18,15033.33333
2023-08-25,15033.33333
2023-09-08,13125
2023-09-08,13096.55
2023-09-08,13125
2023-09-08,13131.25
