Tanggal,Harga
2020-01-03,13000.00
2020-01-10,13000.00
2020-01-17,13000.00
2020-01-24,13050.00
2020-01-31,13000.00
2020-02-07,13066.67
2020-02-14,13000.00
2020-02-21,13000.00
2020-02-28,13000.00
2020-03-06,13000.00
2020-03-13,13000.00
2020-03-20,13000.00
2020-03-27,13000.00
2020-04-03,13000.00
2020-04-10,12916.67
2020-04-17,13000.00
2020-04-24,13000.00
2020-04-30,13000.00
2020-05-01,13000.00
2020-05-08,13000.00
2020-05-15,13000.00
2020-05-22,13000.00
2020-06-05,13000.00
2020-06-12,13000.00
2020-06-19,13000.00
2020-06-26,13000.00
2020-07-03,13000.00
2020-07-10,13000.00
2020-07-17,13000.00
2020-07-24,13000.00
2020-07-31,13000.00
2020-07-07,12933.33
2020-07-14,13000.00
2020-07-21,13000.00
2020-07-28,13000.00
2020-09-04,13000.00
2020-09-11,13000.00
2020-09-18,13000.00
2020-09-25,13000.00
2020-09-30,13000.00
2020-10-02,13133.33
2020-10-09,13166.67
2020-10-16,13166.67
2020-10-23,13166.67
2020-11-06,13166.67
2020-11-13,13100.00
2020-11-20,13000.00
2020-11-27,13000.00
2020-12-04,13000.00
2020-12-11,13000.00
2020-12-18,13000.00
2020-12-25,13000.00
2020-12-31,13000.00
2021-01-01,12975.00
2021-01-08,13000.00
2021-01-15,13000.00
2021-01-22,12675.00
2021-02-05,13250.00
2021-02-12,13250.00
2021-02-19,13250.00
2021-02-26,13250.00
2021-03-05,13250.00
2021-03-12,13250.00
2021-03-19,13375.00
2021-03-26,13500.00
2021-03-31,13500.00
2021-04-02,13500.00
2021-04-09,13700.00
2021-04-16,13750.00
2021-04-23,13750.00
2021-05-07,13625.00
2021-05-14,13775.00
2021-05-21,14000.00
2021-05-28,14000.00
2021-06-04,13866.67
2021-06-11,13800.00
2021-06-18,14200.00
2021-06-25,14416.67
2021-07-02,14033.57
2021-07-09,14300.00
2021-07-16,14500.00
2021-07-23,14500.00
2021-07-30,14625.00
2021-07-06,15333.33
2021-07-13,15333.33
2021-07-20,15333.33
2021-07-27,15333.33
2021-09-03,14666.67
2021-09-10,14666.67
2021-09-17,14666.67
2021-09-24,14666.67
2021-09-30,14666.67
2021-10-08,15000.00
2021-10-15,15000.00
2021-10-22,16437.50
2021-10-29,16500.00
2021-11-05,15875.00
2021-11-12,15875.00
2021-11-19,15875.00
2021-11-26,15875.00
2021-12-03,16075.00
2021-12-10,16075.00
2021-12-17,16725.00
2021-12-24,17125.00
2021-12-31,17125.00
2022-01-07,19000.00
2022-01-14,19333.33
2022-01-21,19533.33
2022-01-28,19133.33
2022-02-04,14000.00
2022-02-11,14000.00
2022-02-18,14000.00
2022-02-25,14000.00
2022-03-04,14000.00
2022-03-11,14000.00
2022-03-18,15000.00
2022-03-25,23700.00
2022-03-31,24500.00
2022-04-08,24000.00
2022-04-15,24000.00
2022-04-22,24000.00
2022-04-29,24000.00
2022-05-06,24000.00
2022-05-13,24000.00
2022-05-20,24000.00
2022-05-27,23500.00
2020-03-06,23333.33
2020-03-13,23333.33
2020-03-20,23333.33
2020-03-27,23400.00
2020-03-30,22266.67
2022-07-08,21366.67
2022-07-15,21333.33
2022-07-22,21333.33
2022-07-29,20333.33
2022-07-05,20266.67
2022-07-12,19333.33
2022-07-19,19333.33
2022-07-26,19333.33
2022-07-31,19333.33
2022-09-09,19333.33
2022-09-16,19333.33
2022-09-23,18000.00
2022-09-30,17333.33
2022-10-08,17333.33
2022-10-15,17333.33
2022-10-22,17200.00
2022-10-29,17333.33
2022-11-04,17333.33
2022-11-11,17333.33
2022-11-18,17333.33
2022-11-25,17333.33
2022-11-30,17333.33
2022-12-09,17333.33
2022-12-16,17833.33
2022-12-23,18166.67
2022-12-30,18166.67
2023-01-06,17666.67
2023-01-13,17500.00
2023-01-20,18300.00
2023-01-27,18500.00
2023-02-03,18500.00
2023-02-10,18500.00
2023-02-17,18500.00
2023-02-24,18500.00
2023-03-03,18500.00
2023-03-10,18500.00
2023-03-17,18500.00
2023-03-24,18500.00
2023-03-31,18500.00
2023-04-07,18500.00
2023-04-14,18500.00
2023-04-21,18500.00
2023-04-28,18500.00
2023-05-05,18500.00
2023-05-12,18500.00
2023-05-19,18666.67
2023-05-26,18500.00
2023-05-31,18500.00
2023-06-09,18500.00
2023-06-16,18500.00
2023-06-23,18500.00
2023-06-30,18500.00
2023-07-07,18500.00
2023-07-14,18500.00
2023-07-21,18500.00
2023-07-28,18500.00
2023-08-04,18500.00
2023-08-11,18500.00
2023-08-18,18500.00
2023-08-25,18500.00
2023-09-08,18500.00
2023-09-15,18500.00
2023-09-22,18500.00
2023-09-29,18500.00
2023-10-06,17150.00
2023-10-13,18500.00
2023-10-20,18600.00
2023-10-27,18500.00
2023-11-03,18875.00
2023-11-10,18875.00
2023-11-17,19075.00
2023-11-24,19125.00
2023-12-01,19125.00
2023-12-08,19125.00
2023-12-15,19125.00
2023-12-22,19125.00
2023-12-29,19125.00
