Tanggal,Harga
2020-01-03,32500
2020-01-10,27000
2020-01-17,27000
2020-01-24,27000
2020-01-31,28100
2020-02-07,32666.66667
2020-02-14,34133.33333
2020-02-21,31333.33333
2020-02-28,32666.66667
2020-03-06,32666.66667
2020-03-13,32666.66667
2020-03-20,33400
2020-03-27,33583.33333
2020-04-03,33400
2020-04-10,31916.66667
2020-04-17,32666.66667
2020-04-24,32666.66667
2020-04-30,32666.66667
2020-05-01,32666.66667
2020-05-08,32666.66667
2020-05-15,32666.66667
2020-05-22,33583.33333
2020-06-05,32666.66667
2020-06-12,32666.66667
2020-06-19,33600
2020-06-26,32666.66667
2020-07-03,32666.66667
2020-07-10,32666.66667
2020-07-17,32666.66667
2020-07-24,32666.66667
2020-07-31,34500
2020-07-07,32916.66667
2020-07-14,33100
2020-07-21,33000
2020-07-28,33166.66667
2020-09-04,33866.66667
2020-09-11,33293.33333
2020-09-18,33166.66667
2020-09-25,33166.66667
2020-09-30,33866.66667
2020-10-02,33266.66667
2020-10-09,33333.33333
2020-10-16,33333.33333
2020-10-23,33333.33333
2020-11-06,34000
2020-11-13,34000
2020-11-20,34000
2020-11-27,34000
2020-12-04,34000
2020-12-11,34000
2020-12-18,34933.33333
2020-12-25,34000
2020-12-31,34000
2021-01-01,32700
2021-01-08,32900
2021-01-15,32900
2021-01-22,32450
2021-02-05,32400
2021-02-12,32400
2021-02-19,32400
2021-02-26,32400
2021-03-05,32750
2021-03-12,32837.5
2021-03-19,31720
2021-03-26,32400
2021-03-31,32837.5
2021-04-02,32450
2021-04-09,32450
2021-04-16,32450
2021-04-23,32450
2021-05-07,64950
2021-05-14,66700
2021-05-21,65450
2021-05-28,65450
2021-06-04,22966.66667
2021-06-11,18800
2021-06-18,18800
2021-06-25,18800
2021-07-02,28090
2021-07-09,30100
2021-07-16,29650
2021-07-23,29275
2021-07-30,29150
2021-07-06,27733.33333
2021-07-13,27266.66667
2021-07-20,27266.66667
2021-07-27,27266.66667
2021-09-03,36111.11111
2021-09-10,35333.33333
2021-09-17,35333.33333
2021-09-24,35800
2021-09-30,35333.33333
2021-10-08,32800
2021-10-15,32820
2021-10-22,31740
2021-10-29,31700
2021-11-05,33450
2021-11-12,33800
2021-11-19,33450
2021-11-26,33450
2021-12-03,34020
2021-12-10,34400
2021-12-17,34480
2021-12-24,35675
2021-12-31,35895
2022-01-07,48350
2022-01-14,48350
2022-01-21,48000
2022-01-28,48040
2022-02-04,47600
2022-02-11,47850
2022-02-18,48350
2022-02-25,47500
2022-03-04,47333.33333
2022-03-11,47333.33333
2022-03-18,47200
2022-03-25,47333.33333
2022-03-31,47800
2022-04-08,47350
2022-04-15,47250
2022-04-22,46850
2022-04-29,46500
2022-05-06,49000
2022-05-13,48200
2022-05-20,48625
2022-05-27,47500
2020-03-06,48187.5
2020-03-13,47500
2020-03-20,47850
2020-03-27,47850
2020-03-30,48050
2022-07-08,47500
2022-07-15,47850
2022-07-22,49150
2022-07-29,46700
2022-07-05,46500
2022-07-12,47050
2022-07-19,47250
2022-07-26,47500
2022-07-31,47500
2022-09-09,47900
2022-09-16,48500
2022-09-23,48500
2022-09-30,47760
2022-10-08,49200
2022-10-15,47500
2022-10-22,47500
2022-10-29,47500
2022-11-04,47850
2022-11-11,47850
2022-11-18,47500
2022-11-25,47500
2022-11-30,47500
2022-12-09,47500
2022-12-16,47700
2022-12-23,48450
2022-12-30,48000
2023-01-06,49500
2023-01-13,48400
2023-01-20,48500
2023-01-27,48656.25
2023-02-03,49450
2023-02-10,48750
2023-02-17,49550
2023-02-24,48850
2023-03-03,49250
2023-03-10,49100
2023-03-17,49750
2023-03-24,49500
2023-03-31,49750
2023-04-07,49500
2023-04-14,50250
2023-04-21,49500
2023-04-28,49500
2023-05-05,49500
2023-05-12,49500
2023-05-19,50125
2023-05-26,51000
2023-05-31,50750
2023-06-09,51250
2023-06-16,50750
2023-06-23,51000
2023-06-30,50750
2023-07-07,50500
2023-07-14,50000
2023-07-21,50000
2023-07-28,50000
2023-08-04,50000
2023-08-11,50666.66667
2023-08-18,50000
2023-08-25,50000
2023-09-08,49000
2023-09-15,49250
2023-09-22,49250
2023-09-29,49000
