Tanggal,Harga
2020-01-03,25600
2020-01-10,25600
2020-01-17,25600
2020-01-24,25600
2020-01-31,25600
2020-02-07,24300
2020-02-14,23660
2020-02-21,23500
2020-02-28,23600
2020-03-06,23500
2020-03-13,23500
2020-03-20,23500
2020-03-27,23500
2020-04-03,23500
2020-04-10,23500
2020-04-17,23500
2020-04-24,23500
2020-04-30,23500
2020-05-01,23500
2020-05-08,23500
2020-05-15,23500
2020-05-22,23500
2020-06-05,23500
2020-06-12,23500
2020-06-19,23500
2020-06-26,23500
2020-07-03,23500
2020-07-10,23500
2020-07-17,23500
2020-07-24,23660
2020-07-31,24537.5
2020-07-07,23450
2020-07-14,23500
2020-07-21,23750
2020-07-28,23450
2020-09-04,23340
2020-09-11,23200
2020-09-18,23320
2020-09-25,23600
2020-09-30,23500
2020-10-02,22900
2020-10-09,22500
2020-10-16,22500
2020-10-23,23000
2020-11-06,22700
2020-11-13,22700
2020-11-20,23420
2020-11-27,23500
2020-12-04,23500
2020-12-11,24675
2020-12-18,26520
2020-12-25,26940
2020-12-31,25600
2021-01-01,31993
2021-01-08,36450
2021-01-15,36550
2021-01-22,36550
2021-02-05,35020
2021-02-12,35500
2021-02-19,34800
2021-02-26,34800
2021-03-05,34950
2021-03-12,34500
2021-03-19,34450
2021-03-26,34300
2021-03-31,34300
2021-04-02,32980
2021-04-09,33560
2021-04-16,34220
2021-04-23,34250
2021-05-07,81600
2021-05-14,85100
2021-05-21,82600
2021-05-28,82600
2021-06-04,56167
2021-06-11,49000
2021-06-18,49000
2021-06-25,49000
2021-07-02,50950
2021-07-09,63850
2021-07-16,63850
2021-07-23,63850
2021-07-30,63850
2021-07-06,38800
2021-07-13,38800
2021-07-20,38800
2021-07-27,38800
2021-09-03,29733
2021-09-10,27733
2021-09-17,27733
2021-09-24,27733
2021-09-30,27733
2021-10-08,32800
2021-10-15,32640
2021-10-22,32000
2021-10-29,32000
2021-11-05,34780
2021-11-12,34210
2021-11-19,34350
2021-11-26,34700
2021-12-03,32160
2021-12-10,30500
2021-12-17,30700
2021-12-24,30700
2021-12-31,31840
2022-01-07,26400
2022-01-14,26080
2022-01-21,24720
2022-01-28,23115
2022-02-04,22252.5
2022-02-11,21050
2022-02-18,20355
2022-02-25,21925
2022-03-04,21873
2022-03-11,22453
2022-03-18,22600
2022-03-25,22600
2022-03-31,22600
2022-04-08,22950
2022-04-15,22793.75
2022-04-22,22325
2022-04-29,22565
2022-05-06,24800
2022-05-13,24200
2022-05-20,24337.5
2022-05-27,24700
2020-03-06,25125
2020-03-13,26105
2020-03-20,26100
2020-03-27,26440
2020-03-30,26150
2022-07-08,26400
2022-07-15,26400
2022-07-22,26400
2022-07-29,24720
2022-07-05,23440
2022-07-12,25030
2022-07-19,27262.5
2022-07-26,27725
2022-07-31,27725
2022-09-09,27868.2
2022-09-16,28106.5
2022-09-23,27066.5
2022-09-30,26916.5
2022-10-08,26295
2022-10-15,25370
2022-10-22,25190
2022-10-29,25350
2022-11-04,25400
2022-11-11,24990
2022-11-18,25590
2022-11-25,25750
2022-11-30,26065
2022-12-09,25220
2022-12-16,27575
2022-12-23,27325
2022-12-30,27575
2023-01-06,27575
2023-01-13,27900
2023-01-20,27875
2023-01-27,27975
2023-02-03,27845
2023-02-10,27800
2023-02-17,27635
2023-02-24,27775
2023-03-03,27430
2023-03-10,27060
2023-03-17,27765
2023-03-24,27692
2023-03-31,27725
2023-04-07,27725
2023-04-14,27725
2023-04-21,27725
2023-04-28,27725
2023-05-05,27725
2023-05-12,27725
2023-05-19,27725
2023-05-26,28365
2023-05-31,29066.5
2023-06-09,29066.5
2023-06-16,29066.5
2023-06-23,29066.5
2023-06-30,29066.5
2023-07-07,29066.5
2023-07-14,29066.5
2023-07-21,29066.5
2023-07-28,29066.5
2023-08-04,28728
2023-08-11,28622
2023-08-18,28622
2023-08-25,28622
2023-09-08,28826.4
2023-09-15,28506.6
2023-09-22,28400
2023-09-29,28400
2023-10-06,26800
2023-10-13,26800
2023-10-20,26820
2023-10-27,22625
2023-11-03,25822
2023-11-10,25466.5
2023-11-17,26141.5
2023-11-24,26558.25
2023-12-01,26558.25
2023-12-08,26675
2023-12-15,26675
2023-12-22,26675
2023-12-29,26675
