Tanggal,Harga
2020-01-03,7000
2020-01-10,7000
2020-01-17,7000
2020-01-24,7000
2020-01-31,7000
2020-02-07,7500
2020-02-14,7500
2020-02-21,7500
2020-02-28,7500
2020-03-06,7700
2020-03-13,7600
2020-03-20,7500
2020-03-27,7500
2020-04-03,7500
2020-04-10,7625
2020-04-17,7500
2020-04-24,7500
2020-04-30,7500
2020-05-01,7500
2020-05-08,7500
2020-05-15,7500
2020-05-22,7500
2020-06-05,7500
2020-06-12,7500
2020-06-19,7500
2020-06-26,7500
2020-07-03,7800
2020-07-10,8000
2020-07-17,8000
2020-07-24,8000
2020-07-31,8000
2020-07-07,8000
2020-07-14,8000
2020-07-21,8000
2020-07-28,8000
2020-09-04,8000
2020-09-11,8000
2020-09-18,8000
2020-09-25,8000
2020-09-30,8000
2020-10-02,8000
2020-10-09,8000
2020-10-16,8000
2020-10-23,8000
2020-11-06,8000
2020-11-13,8000
2020-11-20,8000
2020-11-27,8000
2020-12-04,8000
2020-12-11,8000
2020-12-18,8000
2020-12-25,8000
2020-12-31,8000
2021-01-01,9125
2021-01-08,9125
2021-01-15,9125
2021-01-22,9150
2021-02-05,9125
2021-02-12,9125
2021-02-19,9125
2021-02-26,9125
2021-03-05,9125
2021-03-12,9125
2021-03-19,9125
2021-03-26,9125
2021-03-31,9125
2021-04-02,9125
2021-04-09,9125
2021-04-16,9125
2021-04-23,9125
2021-05-07,20650
2021-05-14,20650
2021-05-21,20640
2021-05-28,20610
2021-06-04,12583.33333
2021-06-11,10133.33333
2021-06-18,10166.66667
2021-06-25,10166.66667
2021-07-02,9425
2021-07-09,9125
2021-07-16,9125
2021-07-23,9125
2021-07-30,9125
2021-07-06,9333.333333
2021-07-13,9333.333333
2021-07-20,9333.333333
2021-07-27,9333.333333
2021-09-03,9833.333333
2021-09-10,9833.333333
2021-09-17,9833.333333
2021-09-24,9833.333333
2021-09-30,9900
2021-10-08,8375
2021-10-15,8375
2021-10-22,8437.5
2021-10-29,8375
2021-11-05,8000
2021-11-12,8000
2021-11-19,8000
2021-11-26,8000
2021-12-03,8475
2021-12-10,8625
2021-12-17,8625
2021-12-24,8625
2021-12-31,8625
2022-01-07,8550
2022-01-14,8875
2022-01-21,8875
2022-01-28,8875
2022-02-04,8875
2022-02-11,8875
2022-02-18,8875
2022-02-25,8875
2022-03-04,8833.333333
2022-03-11,8833.333333
2022-03-18,8766.666667
2022-03-25,8833.333333
2022-03-31,9100
2022-04-08,9275
2022-04-15,9312.5
2022-04-22,9275
2022-04-29,9275
2022-05-06,9000
2022-05-13,9500
2022-05-20,9500
2022-05-27,9500
2020-03-06,9500
2020-03-13,9600
2020-03-20,9575
2020-03-27,9575
2020-03-30,9500
2022-07-08,9500
2022-07-15,9575
2022-07-22,9575
2022-07-29,9575
2022-07-05,9825
2022-07-12,10500
2022-07-19,10437.5
2022-07-26,10350
2022-07-31,10500
2022-09-09,10950
2022-09-16,11000
2022-09-23,11000
2022-09-30,11000
2022-10-08,10800
2022-10-15,10650
2022-10-22,10750
2022-10-29,10750
2022-11-04,10775
2022-11-11,10750
2022-11-18,10950
2022-11-25,11250
2022-11-30,11250
2022-12-09,11250
2022-12-16,11250
2022-12-23,11250
2022-12-30,11250
2023-01-06,11500
2023-01-13,11500
2023-01-20,11500
2023-01-27,11812.5
2023-02-03,11750
2023-02-10,11800
2023-02-17,11900
2023-02-24,11850
2023-03-03,12200
2023-03-10,12850
2023-03-17,12950
2023-03-24,12791.66667
2023-03-31,12875
2023-04-07,12875
2023-04-14,12875
2023-04-21,12875
2023-04-28,12750
2023-05-05,12750
2023-05-12,12750
2023-05-19,12750
2023-05-26,12750
2023-05-31,12750
2023-06-09,12750
2023-06-16,12750
2023-06-23,12750
2023-06-30,12750
2023-07-07,12750
2023-07-14,12750
2023-07-21,12750
2023-07-28,12750
2023-08-04,13266.66667
2023-08-11,13333.33333
2023-08-18,13333.33333
2023-08-25,13333.33333
2023-09-08,13250
2023-09-15,13275
2023-09-22,13250
2023-09-29,13250
