Tanggal,Tepung_Terigu_Protein_Tinggi
2020-01-03,8000
2020-01-10,8000
2020-01-17,8000
2020-01-24,8000
2020-01-31,8000
2020-02-07,8666.666667
2020-02-14,8666.666667
2020-02-21,8666.666667
2020-02-28,8666.666667
2020-03-06,8666.666667
2020-03-13,8666.666667
2020-03-20,8666.666667
2020-03-27,8666.666667
2020-04-03,8666.666667
2020-04-10,8666.666667
2020-04-17,8666.666667
2020-04-24,8666.666667
2020-04-30,8666.666667
2020-05-01,8666.666667
2020-05-08,8666.666667
2020-05-15,8666.666667
2020-05-22,8666.666667
2020-06-05,8666.666667
2020-06-12,8666.666667
2020-06-19,8666.666667
2020-06-26,8666.666667
2020-07-03,8866.666667
2020-07-10,9000
2020-07-17,9000
2020-07-24,9000
2020-07-31,9000
2020-07-07,9000
2020-07-14,9000
2020-07-21,9000
2020-07-28,9000
2020-09-04,9000
2020-09-11,9000
2020-09-18,9000
2020-09-25,9000
2020-09-30,9000
2020-10-02,9000
2020-10-09,9000
2020-10-16,9000
2020-10-23,9000
2020-11-06,9000
2020-11-13,9000
2020-11-20,9000
2020-11-27,9000
2020-12-04,9000
2020-12-11,9000
2020-12-18,9000
2020-12-25,9000
2020-12-31,8888.888889
2021-01-01,9475
2021-01-08,9550
2021-01-15,9500
2021-01-22,9500
2021-02-05,9500
2021-02-12,9500
2021-02-19,9500
2021-02-26,9575
2021-03-05,9625
2021-03-12,9625
2021-03-19,9625
2021-03-26,9625
2021-03-31,9625
2021-04-02,9625
2021-04-09,9625
2021-04-16,9625
2021-04-23,9625
2021-05-07,24350
2021-05-14,24350
2021-05-21,24130
2021-05-28,24250
2021-06-04,9833.333333
2021-06-11,8666.666667
2021-06-18,8666.666667
2021-06-25,8666.666667
2021-07-02,9200
2021-07-09,9500
2021-07-16,9500
2021-07-23,9500
2021-07-30,9400
2021-07-06,9333.333333
2021-07-13,9333.333333
2021-07-20,9333.333333
2021-07-27,9333.333333
2021-09-03,9500
2021-09-10,9500
2021-09-17,9500
2021-09-24,9500
2021-09-30,9500
2021-10-08,10125
2021-10-15,10125
2021-10-22,10125
2021-10-29,10125
2021-11-05,10000
2021-11-12,10000
2021-11-19,10000
2021-11-26,10000
2021-12-03,10075
2021-12-10,10125
2021-12-17,10125
2021-12-24,10125
2021-12-31,10125
2022-01-07,10050
2022-01-14,10125
2022-01-21,10125
2022-01-28,10125
2022-02-04,10325
2022-02-11,10375
2022-02-18,10125
2022-02-25,10375
2022-03-04,10500
2022-03-11,10500
2022-03-18,10866.66667
2022-03-25,11033.33333
2022-03-31,11166.66667
2022-04-08,11375
2022-04-15,11375
2022-04-22,11375
2022-04-29,11375
2022-05-06,11500
2022-05-13,11750
2022-05-20,11750
2022-05-27,11750
2020-03-06,11750
2020-03-13,11750
2020-03-20,11750
2020-03-27,11750
2020-03-30,11750
2022-07-08,11750
2022-07-15,11750
2022-07-22,11750
2022-07-29,11750
2022-07-05,11750
2022-07-12,12000
2022-07-19,12000
2022-07-26,12000
2022-07-31,12312.5
2022-09-09,12650
2022-09-16,12800
2022-09-23,12750
2022-09-30,12750
2022-10-08,12750
2022-10-15,12750
2022-10-22,12750
2022-10-29,12750
2022-11-04,12750
2022-11-11,12750
2022-11-18,12950
2022-11-25,13250
2022-11-30,13250
2022-12-09,13250
2022-12-16,13250
2022-12-23,13250
2022-12-30,13250
2023-01-06,13500
2023-01-13,13650
2023-01-20,13450
2023-01-27,13812.5
2023-02-03,13750
2023-02-10,13800
2023-02-17,13900
2023-02-24,13850
2023-03-03,14000
2023-03-10,14000
2023-03-17,14000
2023-03-24,14000
2023-03-31,14000
2023-04-07,14000
2023-04-14,14000
2023-04-21,14000
2023-04-28,14000
2023-05-05,14000
2023-05-12,14000
2023-05-19,14000
2023-05-26,14000
2023-05-31,14000
2023-06-09,14000
2023-06-16,14000
2023-06-23,14000
2023-06-30,14000
2023-07-07,14000
2023-07-14,14000
2023-07-21,14000
2023-07-28,14000
2023-08-04,
2023-08-11,
2023-08-18,
2023-08-25,
2023-09-08,
2023-09-08,
2023-09-08,
2023-09-08,
